filename,num_point,pore_depth,area_top,area_bottom,max_depth_top,max_depth_bottom
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_9.dxf,20,0.03,0.1354718463320884,0.13483572707224784,0.029382016784222528,0.2725293211199633
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_0.dxf,20,0.03,0.13429929198185944,0.1356291118852756,0.02998864597901356,0.270270669937574
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_1.dxf,20,0.03,0.13458595698754858,0.13564746584801038,0.027936802666318424,0.2713619426740328
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_2.dxf,20,0.03,0.1339573910688314,0.1360114720152443,0.028659392071171658,0.27061990020014837
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_3.dxf,20,0.03,0.13464481117912527,0.13568272717883845,0.029896161423672022,0.2722163869324896
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_4.dxf,20,0.03,0.13350341593943185,0.13627179593988553,0.02902090179270234,0.2710011662737934
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_5.dxf,20,0.03,0.13550111223719982,0.13468312338522076,0.029614026159277638,0.2720731340424052
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_6.dxf,20,0.03,0.13556914749383442,0.13461872039846073,0.029350542382938855,0.2702165977033392
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_7.dxf,20,0.03,0.1351546810464291,0.135078221484808,0.0294364227451424,0.2721544410601163
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_8.dxf,20,0.03,0.13638092276278824,0.1335795287476496,0.028341033133592073,0.27050114720695767
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_9.dxf,20,0.03,0.13529529605770058,0.13448195776773766,0.028033791663697055,0.2711647584454004
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.03_depth_0.dxf,20,0.03,0.13409690222419163,0.13613638757897004,0.02717442106672328,0.27039076730103995
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_1.dxf,10,0.04,0.13351497533414078,0.1364788376431031,0.03863270044416304,0.2608370807732212
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_2.dxf,10,0.04,0.13369172097325785,0.13646414939183046,0.03900990007804995,0.2635727962520699
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_3.dxf,10,0.04,0.1336350741983578,0.13628997912100083,0.03820518511772022,0.26065871316263495
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_4.dxf,10,0.04,0.13297616925465158,0.13685141774526743,0.03644709526923902,0.2637832911923876
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_5.dxf,10,0.04,0.13135190669533356,0.1388564705048566,0.03894934217981622,0.2607213567750421
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_6.dxf,10,0.04,0.13048406523139416,0.139564011482788,0.03931145051776647,0.26142583186402435
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_7.dxf,10,0.04,0.1356334325241872,0.13424598726745773,0.03694527282074797,0.2606039510565301
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_8.dxf,10,0.04,0.13365046836077257,0.1367072230926973,0.03966623622854057,0.2600897243392761
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_9.dxf,10,0.04,0.1318024315549473,0.13782488764834191,0.03924102396217329,0.2616099576696123
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_0.dxf,10,0.04,0.13637190070300542,0.13302443945754172,0.039825196232202945,0.2615516672472536
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_1.dxf,10,0.04,0.1369472340204715,0.13299578740271628,0.037527211710954696,0.263262588480009
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_2.dxf,10,0.04,0.13431994580548987,0.13574820703768645,0.037754415034785195,0.2608417106768899
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_3.dxf,10,0.04,0.13419859433406148,0.13610872063551221,0.03655186819063127,0.2612096157050527
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_4.dxf,10,0.04,0.13878952292738084,0.13135874152467691,0.037068875803978815,0.2617435757251074
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_5.dxf,10,0.04,0.13625173872670168,0.1343496817777109,0.038313411419413905,0.263410520712931
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_6.dxf,10,0.04,0.13218921966952693,0.1374939620564264,0.039602412337006315,0.26354127798012345
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_7.dxf,10,0.04,0.13581235175933798,0.13382801186184484,0.03721014763778608,0.2611788372671717
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_8.dxf,10,0.04,0.13658906446568186,0.1331506930310643,0.03966057584063275,0.26245380973819155
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_9.dxf,10,0.04,0.13394334980846256,0.1362325334311521,0.03734255065667934,0.2639549767808051
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_10_pts_0.04_depth_0.dxf,10,0.04,0.1365210804378209,0.13377723736221575,0.03620650768801424,0.2606362931729472
/Users/shomikverma/Documents/GitHub/graphite-modeling/fusion add-in/generate_dxf/dxf_geometries/test2D_20_pts_0.04_depth_1.dxf,20,0.04,0.13204254469821639,0.13769008832323895,0.03874780095527586,0.2603022462077451
