Temperature_C,AvgThermDiff_mm2_s,Uncertai95CI_mm2_s,PercenUncertai95CI,RandomUncertai_salpha,SystemUncertai_balpha,Temperature_C,AvgSpeciHeat_J_gK,Uncertai95CI_J_gK,PercenUncertai95CI,RandomUncertai_scp,SystemUncertai_bcp,Thermal Conductivity (W/mK)
900,4.8105,0.681412897,14.16511582,0.224923089,0.0721575,900,1.508621505,0.06526026,4.325820591,0.017201129,0.026400876,11.611558
920,4.78375,0.686030775,14.34085758,0.226265791,0.07175625,920,1.51213425,0.065860549,4.3554697,0.017497579,0.026462349,11.57387555
940,4.75225,0.680921449,14.32840127,0.224594681,0.07128375,940,1.511244305,0.0670204,4.434782662,0.018151834,0.026446775,11.49089719
960,4.7235,0.689922134,14.60616352,0.227267189,0.0708525,960,1.51144121,0.072271781,4.781646842,0.020777908,0.026450221,11.42286809
980,4.69675,0.685927723,14.60430559,0.225972205,0.07045125,980,1.507947691,0.075559648,5.010760575,0.022272446,0.026389085,11.33192531
1000,4.67125,0.684850135,14.66096087,0.225532795,0.07006875,1000,1.507750943,0.08143876,5.40134032,0.024664306,0.026385641,11.26893055
1020,4.65075,0.684892385,14.72649326,0.225482723,0.06976125,1020,1.504810181,0.088519988,5.882468682,0.02727261,0.026334178,11.19759352
1040,4.62825,0.684935411,14.79901498,0.22544068,0.06942375,1040,1.505444415,0.09985921,6.63320473,0.03101131,0.026345277,11.14811698
1060,4.61225,0.688669796,14.93131978,0.226554169,0.06918375,,,,,,,
1080,4.59625,0.684226046,14.88661509,0.225124318,0.06894375,,,,,,,
1100,4.58475,0.684212883,14.92366832,0.225081282,0.06877125,,,,,,,
1120,4.578,0.685524924,14.97433212,0.225487065,0.06867,,,,,,,
1140,4.58025,0.684084998,14.9355384,0.225023795,0.06870375,,,,,,,
1160,4.58525,0.669250041,14.59571541,0.220470283,0.06877875,,,,,,,
1180,4.59825,0.667854899,14.52411024,0.220086583,0.06897375,,,,,,,
