T,alpha,possible_k
25.0,5.114e-06,[]
40.0,4.970999999999999e-06,[]
60.0,4.779e-06,[7.0]
80.0,4.544e-06,[]
100.0,4.331000000000001e-06,[8.0]
120.0,4.228e-06,[]
140.0,4.126e-06,[9.0]
160.0,4.021e-06,[9.0]
180.0,3.915e-06,[10.0]
200.0,3.824999999999999e-06,[10.0]
220.0,3.7389999999999997e-06,[10.0]
240.0,3.669000000000001e-06,[10.0]
260.0,3.5989999999999993e-06,[10.0]
280.0,3.5409999999999992e-06,[10.0]
300.0,3.5189999999999997e-06,[10.0]
320.0,3.504e-06,[10.0]
340.0,3.5020000000000005e-06,[10.0]
360.0,3.607999999999999e-06,[10.0]
380.0,3.7439999999999992e-06,[]
400.0,3.7979999999999995e-06,[11.0]
420.0,3.8239999999999985e-06,[11.0]
440.0,3.7530000000000003e-06,[]
460.0,3.696e-06,[]
480.0,3.6850000000000003e-06,[]
500.0,3.6570000000000007e-06,[10.0]
520.0,3.6320000000000014e-06,[10.0]
540.0,3.607999999999999e-06,[10.0]
560.0,3.5950000000000003e-06,[10.0]
580.0,3.5830000000000003e-06,[]
600.0,3.567000000000001e-06,[]
620.0,3.561000000000002e-06,[]
640.0,3.554e-06,[]
660.0,3.5110000000000004e-06,[]
680.0,3.4889999999999995e-06,[]
700.0,3.438999999999999e-06,[]
720.0,3.4179999999999997e-06,[9.0]
740.0,3.3760000000000004e-06,[9.0]
760.0,3.3599999999999987e-06,[]
780.0,3.331e-06,[]
800.0,3.3940000000000013e-06,[9.0]
820.0,3.3839999999999997e-06,[9.0]
840.0,3.4100000000000004e-06,[9.0]
860.0,3.410999999999999e-06,[9.0]
880.0,3.4039999999999987e-06,[9.0]
900.0,3.416000000000001e-06,[9.0]
920.0,3.4270000000000004e-06,[9.0]
940.0,3.4449999999999988e-06,[9.0]
960.0,3.4650000000000007e-06,[]
980.0,3.5099999999999986e-06,[]
1000.0,3.5490000000000002e-06,[]
1020.0,3.567000000000001e-06,[]
1040.0,3.644e-06,[]
1060.0,3.699e-06,[10.0]
1080.0,3.732e-06,[10.0]
1100.0,3.7999999999999988e-06,[]
1120.0,3.841e-06,[]
1140.0,3.889999999999999e-06,[]
1160.0,3.94e-06,[11.0]
1180.0,4.0150000000000005e-06,[11.0]
