T,alpha,possible_k,min_k,max_k,mean_k
25.0,5.2459999999999986e-06,[6.0],5.5,6.5,6.0
40.0,5.125999999999999e-06,[6.0],5.5,6.5,6.0
60.0,4.915e-06,[7.0],6.5,7.5,7.0
80.0,4.6930000000000015e-06,"[7.0, 8.0]",6.5,8.5,7.5
100.0,4.5169999999999984e-06,"[7.0, 8.0]",6.5,8.5,7.5
120.0,4.39e-06,"[8.0, 9.0]",7.5,9.5,8.5
140.0,4.278000000000001e-06,"[8.0, 9.0]",7.5,9.5,8.5
160.0,4.170000000000002e-06,"[9.0, 10.0]",8.5,10.5,9.5
180.0,4.07e-06,"[9.0, 10.0]",8.5,10.5,9.5
200.0,3.978999999999999e-06,"[9.0, 10.0]",8.5,10.5,9.5
220.0,3.898999999999999e-06,"[9.0, 10.0]",8.5,10.5,9.5
240.0,3.821e-06,"[9.0, 10.0]",8.5,10.5,9.5
260.0,3.7499999999999984e-06,"[9.0, 10.0]",8.5,10.5,9.5
280.0,3.66e-06,"[9.0, 10.0]",8.5,10.5,9.5
300.0,3.5219999999999986e-06,"[9.0, 10.0]",8.5,10.5,9.5
320.0,3.4449999999999984e-06,"[9.0, 10.0]",8.5,10.5,9.5
340.0,3.429e-06,[9.0],8.5,9.5,9.0
360.0,3.468000000000001e-06,"[9.0, 10.0]",8.5,10.5,9.5
380.0,3.527e-06,"[9.0, 10.0]",8.5,10.5,9.5
400.0,3.5439999999999994e-06,"[9.0, 10.0]",8.5,10.5,9.5
420.0,3.5210000000000007e-06,"[9.0, 10.0]",8.5,10.5,9.5
440.0,3.484e-06,"[9.0, 10.0]",8.5,10.5,9.5
460.0,3.4519999999999993e-06,"[9.0, 10.0]",8.5,10.5,9.5
480.0,3.423e-06,"[9.0, 10.0]",8.5,10.5,9.5
500.0,3.391999999999999e-06,"[9.0, 10.0]",8.5,10.5,9.5
520.0,3.3679999999999993e-06,"[9.0, 10.0]",8.5,10.5,9.5
540.0,3.3520000000000007e-06,"[9.0, 10.0]",8.5,10.5,9.5
560.0,3.333e-06,"[9.0, 10.0]",8.5,10.5,9.5
580.0,3.3180000000000007e-06,"[9.0, 10.0]",8.5,10.5,9.5
600.0,3.314e-06,"[9.0, 10.0]",8.5,10.5,9.5
620.0,3.297e-06,"[9.0, 10.0]",8.5,10.5,9.5
640.0,3.2980000000000013e-06,"[9.0, 10.0]",8.5,10.5,9.5
660.0,3.2939999999999997e-06,"[9.0, 10.0]",8.5,10.5,9.5
680.0,3.288e-06,"[9.0, 10.0]",8.5,10.5,9.5
700.0,3.2800000000000008e-06,"[9.0, 10.0]",8.5,10.5,9.5
720.0,3.277999999999998e-06,"[9.0, 10.0]",8.5,10.5,9.5
740.0,3.2960000000000007e-06,[10.0],9.5,10.5,10.0
760.0,3.31e-06,[10.0],9.5,10.5,10.0
780.0,3.3429999999999987e-06,[10.0],9.5,10.5,10.0
800.0,3.352999999999999e-06,[10.0],9.5,10.5,10.0
820.0,3.329999999999999e-06,[10.0],9.5,10.5,10.0
840.0,3.352999999999999e-06,[10.0],9.5,10.5,10.0
860.0,3.319e-06,[10.0],9.5,10.5,10.0
880.0,3.37e-06,"[10.0, 11.0]",9.5,11.5,10.5
900.0,3.3599999999999987e-06,[10.0],9.5,10.5,10.0
920.0,3.344e-06,[10.0],9.5,10.5,10.0
940.0,3.398e-06,"[10.0, 11.0]",9.5,11.5,10.5
960.0,3.429e-06,"[10.0, 11.0]",9.5,11.5,10.5
980.0,3.4519999999999993e-06,"[10.0, 11.0]",9.5,11.5,10.5
1000.0,3.565e-06,[11.0],10.5,11.5,11.0
1020.0,3.595999999999999e-06,[11.0],10.5,11.5,11.0
1040.0,3.629e-06,"[11.0, 12.0]",10.5,12.5,11.5
1060.0,3.67e-06,"[11.0, 12.0]",10.5,12.5,11.5
1080.0,3.7229999999999985e-06,"[11.0, 12.0]",10.5,12.5,11.5
1100.0,3.769e-06,[12.0],11.5,12.5,12.0
1120.0,3.833000000000001e-06,"[12.0, 13.0]",11.5,13.5,12.5
1140.0,3.891999999999999e-06,"[12.0, 13.0]",11.5,13.5,12.5
1160.0,3.9889999999999986e-06,"[12.0, 13.0]",11.5,13.5,12.5
1180.0,4.065000000000002e-06,[13.0],12.5,13.5,13.0
