T,alpha,possible_k,min_k,max_k,mean_k
60.0,4.7789999999999995e-06,[7.0],6.5,7.5,7.0
100.0,4.331000000000001e-06,[8.0],7.5,8.5,8.0
140.0,4.126e-06,[9.0],8.5,9.5,9.0
160.0,4.021e-06,[9.0],8.5,9.5,9.0
180.0,3.915e-06,[10.0],9.5,10.5,10.0
200.0,3.824999999999998e-06,[10.0],9.5,10.5,10.0
220.0,3.739e-06,[10.0],9.5,10.5,10.0
240.0,3.6690000000000016e-06,[10.0],9.5,10.5,10.0
260.0,3.5989999999999993e-06,[10.0],9.5,10.5,10.0
280.0,3.5409999999999992e-06,[10.0],9.5,10.5,10.0
300.0,3.519e-06,[10.0],9.5,10.5,10.0
320.0,3.504e-06,[10.0],9.5,10.5,10.0
340.0,3.502000000000001e-06,[10.0],9.5,10.5,10.0
360.0,3.6079999999999983e-06,[10.0],9.5,10.5,10.0
400.0,3.798e-06,[11.0],10.5,11.5,11.0
420.0,3.823999999999999e-06,[11.0],10.5,11.5,11.0
500.0,3.6570000000000007e-06,[10.0],9.5,10.5,10.0
520.0,3.6320000000000014e-06,[10.0],9.5,10.5,10.0
540.0,3.6079999999999983e-06,[10.0],9.5,10.5,10.0
560.0,3.5950000000000007e-06,[10.0],9.5,10.5,10.0
720.0,3.418e-06,[9.0],8.5,9.5,9.0
740.0,3.376000000000001e-06,[9.0],8.5,9.5,9.0
800.0,3.3940000000000013e-06,[9.0],8.5,9.5,9.0
820.0,3.384e-06,[9.0],8.5,9.5,9.0
840.0,3.410000000000001e-06,[9.0],8.5,9.5,9.0
860.0,3.4109999999999988e-06,[9.0],8.5,9.5,9.0
880.0,3.4039999999999987e-06,[9.0],8.5,9.5,9.0
900.0,3.4160000000000013e-06,[9.0],8.5,9.5,9.0
920.0,3.427000000000001e-06,[9.0],8.5,9.5,9.0
940.0,3.4449999999999984e-06,[9.0],8.5,9.5,9.0
1060.0,3.6989999999999997e-06,[10.0],9.5,10.5,10.0
1080.0,3.732e-06,[10.0],9.5,10.5,10.0
1160.0,3.94e-06,[11.0],10.5,11.5,11.0
1180.0,4.0150000000000005e-06,[11.0],10.5,11.5,11.0
