T,alpha,possible_k
25.0,4.185000000000001e-06,[4.0]
40.0,4.056000000000001e-06,[5.0]
60.0,3.914000000000001e-06,[5.0]
80.0,3.736e-06,[]
100.0,3.5800000000000005e-06,[6.0]
120.0,3.448999999999999e-06,[6.0]
140.0,3.277e-06,[6.0]
160.0,3.1699999999999993e-06,[6.0]
180.0,3.0959999999999992e-06,[7.0]
200.0,3.001e-06,[7.0]
220.0,2.936e-06,[7.0]
240.0,2.885e-06,[7.0]
260.0,2.8360000000000005e-06,[7.0]
280.0,2.8020000000000004e-06,[7.0]
300.0,2.7929999999999993e-06,[7.0]
320.0,2.8360000000000005e-06,[7.0]
340.0,2.974e-06,[8.0]
360.0,3.1849999999999996e-06,"[8.0, 9.0]"
380.0,3.307e-06,[9.0]
400.0,3.3109999999999997e-06,[9.0]
420.0,3.2800000000000004e-06,[9.0]
440.0,3.2489999999999997e-06,[9.0]
460.0,3.2179999999999995e-06,[9.0]
480.0,3.2009999999999987e-06,[9.0]
500.0,3.176e-06,[9.0]
520.0,3.1650000000000006e-06,[9.0]
540.0,3.148e-06,[9.0]
560.0,3.134999999999999e-06,[9.0]
580.0,3.1280000000000012e-06,[9.0]
600.0,3.138999999999999e-06,[9.0]
620.0,3.1269999999999995e-06,[9.0]
640.0,3.1150000000000002e-06,[9.0]
660.0,3.1320000000000003e-06,[9.0]
680.0,3.14e-06,[9.0]
700.0,3.1469999999999997e-06,[9.0]
720.0,3.1650000000000006e-06,[9.0]
740.0,3.177e-06,[9.0]
760.0,3.2130000000000004e-06,[9.0]
780.0,3.2139999999999996e-06,[9.0]
800.0,3.221999999999999e-06,[9.0]
820.0,3.224000000000001e-06,[9.0]
840.0,3.2319999999999993e-06,[9.0]
860.0,3.2319999999999993e-06,[9.0]
880.0,3.2679999999999986e-06,[9.0]
900.0,3.2929999999999992e-06,[9.0]
920.0,3.294e-06,[9.0]
940.0,3.3299999999999995e-06,"[9.0, 10.0]"
960.0,3.3669999999999993e-06,"[9.0, 10.0]"
980.0,3.4459999999999997e-06,[10.0]
1000.0,3.4009999999999993e-06,[10.0]
1020.0,3.472999999999999e-06,[10.0]
1040.0,3.5e-06,[10.0]
1060.0,3.551e-06,"[10.0, 11.0]"
1080.0,3.5800000000000005e-06,"[10.0, 11.0]"
1100.0,3.651999999999999e-06,"[10.0, 11.0]"
1120.0,3.693e-06,[11.0]
1140.0,3.7370000000000012e-06,[11.0]
1160.0,1.0529999999999997e-06,[]
1180.0,3.8839999999999996e-06,"[11.0, 12.0]"
