#EXPORTTYPE:                 ,DATA COMPARE                 
#FILE:                       ,sample1.ngb-ds3              
#FORMAT:                     ,NETZSCH5                     
#FTYPE:                      ,ANSI                         
#IDENTITY:                   ,putty                        
#DECIMAL:                    ,POINT                        
#SEPARATOR:                  ,COMMA                        
#MTYPE:                      ,CP                           
#INSTRUMENT:                 ,NETZSCH STA 449F3            
#PROJECT:                    ,Gen3CSP                      
#DATE/TIME:                  ,12/13/2022 3:59:26 PM (UTC-5)
#CORR. FILE:                 ,baseline2.ngb-bs3            
#TEMPCAL:                    ,TCALZERO.TCX                 
#SENSITIVITY:                ,SENSZERO.EXX                 
#LABORATORY:                 ,STEEL                        
#OPERATOR:                   ,MJA                          
#REMARK:                     ,                             
#SAMPLE:                     ,sample1                      
#SAMPLE MASS /mg:            ,35.9                         
#MATERIAL:                   ,                             
#REFERENCE:                  ,                             
#REFERENCE MASS /mg:         ,0                            
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid       
#SAMPLE CRUCIBLE MASS /mg:   ,0                            
#REFERENCE CRUCIBLE MASS /mg:,0                            
#DSC RANGE /�V:              ,5000                         
#TG RANGE /mg:               ,35000                        
#TAU-R:                      ,---                          
#CORR. CODE:                 ,00                           
#EXO:                        ,-1                           
#RANGE:                      ,25�C/15.0(K/min)/1180�C      
#SEGMENT:                    ,S1/7                         
#SEG. 1:                     ,25�C/15.0(K/min)/1180�C      
,,
##Temp./C,Cp(1)/(J/(g*K))
  33.19010,      1.04174
  33.20990,      1.04154
  33.22971,      1.04128
  33.24951,      1.04100
  33.26931,      1.04078
  33.28912,      1.04068
  33.30892,      1.04075
  33.32873,      1.04097
  33.34853,      1.04128
  33.36834,      1.04160
  33.38814,      1.04187
  33.40795,      1.04202
  33.42775,      1.04202
  33.44755,      1.04191
  33.46736,      1.04174
  33.48716,      1.04155
  33.50697,      1.04138
  33.52677,      1.04129
  33.54658,      1.04131
  33.56638,      1.04143
  33.58619,      1.04163
  33.60599,      1.04190
  33.62579,      1.04222
  33.64560,      1.04256
  33.66540,      1.04292
  33.68521,      1.04328
  33.70501,      1.04362
  33.72482,      1.04394
  33.74462,      1.04422
  33.76442,      1.04446
  33.78423,      1.04465
  33.80403,      1.04480
  33.82384,      1.04495
  33.84364,      1.04510
  33.86345,      1.04530
  33.88325,      1.04557
  33.90306,      1.04592
  33.92286,      1.04635
  33.94266,      1.04682
  33.96247,      1.04730
  33.98227,      1.04776
  34.00208,      1.04815
  34.02188,      1.04845
  34.04169,      1.04867
  34.06149,      1.04881
  34.08130,      1.04889
  34.10110,      1.04893
  34.12090,      1.04892
  34.14071,      1.04889
  34.16051,      1.04885
  34.18032,      1.04880
  34.20012,      1.04876
  34.21993,      1.04875
  34.23973,      1.04878
  34.25953,      1.04885
  34.27934,      1.04896
  34.29914,      1.04910
  34.31895,      1.04926
  34.33875,      1.04944
  34.35856,      1.04962
  34.37836,      1.04981
  34.39817,      1.05000
  34.41797,      1.05018
  34.43777,      1.05035
  34.45758,      1.05050
  34.47738,      1.05062
  34.49719,      1.05071
  34.51699,      1.05077
  34.53680,      1.05080
  34.55660,      1.05081
  34.57641,      1.05079
  34.59621,      1.05076
  34.61601,      1.05071
  34.63582,      1.05066
  34.65562,      1.05063
  34.67543,      1.05063
  34.69523,      1.05068
  34.71504,      1.05080
  34.73484,      1.05101
  34.75464,      1.05131
  34.77445,      1.05165
  34.79425,      1.05200
  34.81406,      1.05230
  34.83386,      1.05251
  34.85367,      1.05258
  34.87347,      1.05249
  34.89328,      1.05229
  34.91308,      1.05202
  34.93288,      1.05176
  34.95269,      1.05157
  34.97249,      1.05149
  34.99230,      1.05156
  35.01210,      1.05174
  35.03191,      1.05201
  35.05171,      1.05232
  35.07152,      1.05264
  35.09132,      1.05295
  35.11112,      1.05321
  35.13093,      1.05342
  35.15073,      1.05359
  35.17054,      1.05373
  35.19034,      1.05385
  35.21015,      1.05394
  35.22995,      1.05403
  35.24975,      1.05411
  35.26956,      1.05421
  35.28936,      1.05435
  35.30917,      1.05455
  35.32897,      1.05483
  35.34878,      1.05521
  35.36858,      1.05566
  35.38839,      1.05616
  35.40819,      1.05663
  35.42799,      1.05702
  35.44780,      1.05729
  35.46760,      1.05741
  35.48741,      1.05742
  35.50721,      1.05735
  35.52702,      1.05722
  35.54682,      1.05708
  35.56663,      1.05695
  35.58643,      1.05686
  35.60623,      1.05682
  35.62604,      1.05683
  35.64584,      1.05688
  35.66565,      1.05699
  35.68545,      1.05715
  35.70526,      1.05737
  35.72506,      1.05762
  35.74486,      1.05790
  35.76467,      1.05816
  35.78447,      1.05838
  35.80428,      1.05854
  35.82408,      1.05860
  35.84389,      1.05859
  35.86369,      1.05852
  35.88350,      1.05840
  35.90330,      1.05825
  35.92310,      1.05807
  35.94291,      1.05788
  35.96271,      1.05770
  35.98252,      1.05754
  36.00232,      1.05742
  36.02213,      1.05736
  36.04193,      1.05738
  36.06174,      1.05751
  36.08154,      1.05776
  36.10134,      1.05814
  36.12115,      1.05863
  36.14095,      1.05918
  36.16076,      1.05975
  36.18056,      1.06030
  36.20037,      1.06078
  36.22017,      1.06115
  36.23997,      1.06142
  36.25978,      1.06161
  36.27958,      1.06172
  36.29939,      1.06179
  36.31919,      1.06183
  36.33900,      1.06185
  36.35880,      1.06185
  36.37861,      1.06185
  36.39841,      1.06186
  36.41821,      1.06186
  36.43802,      1.06188
  36.45782,      1.06191
  36.47763,      1.06196
  36.49743,      1.06201
  36.51724,      1.06207
  36.53704,      1.06212
  36.55685,      1.06217
  36.57665,      1.06220
  36.59645,      1.06220
  36.61626,      1.06220
  36.63606,      1.06219
  36.65587,      1.06218
