Temperature_C,AvgThermDiff_mm2_s,Uncertai95CI_mm2_s,PercenUncertai95CI,RandomUncertai_salpha,SystemUncertai_balpha
25,11.12775,1.32208480189481,11.8809714622885,0.441833443354695,0.16691625
40,10.7695,1.27801930924765,11.8670254816625,0.427151978223208,0.1615425
60,10.34125,1.20602194873387,11.6622453642826,0.403607095452991,0.15511875
80,9.93725,1.15417752688077,11.6146572430075,0.386324588267431,0.14905875
100,9.558,1.1204206923655,11.722334090453,0.374769345731478,0.14337
120,9.20975,1.0665361640434,11.5805115670175,0.35709712147631,0.13814625
140,8.89225,1.05123962125844,11.8219755546509,0.351410520853697,0.13338375
160,8.60375,1.02066478918106,11.8630223935035,0.34111309830221,0.12905625
180,8.32275,0.978245730367702,11.7538761871701,0.32714602371622,0.12484125
200,8.07575,0.964740059511663,11.9461357708159,0.322255980032437,0.12113625
220,7.838,0.932781182299338,11.9007550688867,0.311661040501803,0.11757
240,7.6375,0.92057016267197,12.0532918189456,0.30729627397676,0.1145625
260,7.432,0.904240977820623,12.1668592279417,0.301637268364946,0.11148
280,7.247,0.88150679095866,12.1637476329331,0.294066531587666,0.108705
300,7.0745,0.855152663305209,12.087817701678,0.285399318207548,0.1061175
320,6.91475,0.854568624101411,12.358633704782,0.284758706334562,0.10372125
340,6.76675,0.838925549226402,12.3977618387912,0.279486061071627,0.10150125
360,6.629,0.818900703733452,12.3533067390776,0.272876231101208,0.099435
380,6.5005,0.808877912940618,12.4433184053629,0.269396509195399,0.0975075
400,6.379,0.792856909555775,12.4291724338576,0.26407894179582,0.095685
420,6.26425,0.782840924845859,12.4969617248012,0.260637679547682,0.09396375
440,6.1575,0.77236396340385,12.5434667219464,0.257084332791142,0.0923625
460,6.05875,0.76313150432332,12.5955272015402,0.253934456766571,0.09088125
480,5.96725,0.755396387762624,12.6590370398864,0.251273920917658,0.08950875
500,5.884,0.752560529768344,12.7899478206721,0.250150787859376,0.08826
520,5.799,0.736783683748258,12.7053575400631,0.245025636413825,0.086985
540,5.72325,0.741000015632235,12.9471893702395,0.246095636897528,0.08584875
560,5.648,0.734018785910014,12.9960833199365,0.243711236233922,0.08472
580,5.574,0.72469830277896,13.0014047861313,0.240610248465577,0.08361
600,5.50675,0.719098271781269,13.058487706565,0.238680007192336,0.08260125
620,5.44425,0.713538917057339,13.1062849255148,0.236774373965315,0.08166375
640,5.38675,0.707803028190378,13.1397044264237,0.234826930951286,0.08080125
660,5.327,0.702945351467194,13.1958954658756,0.233150970403299,0.079905
680,5.272,0.700475761270886,13.2867177782793,0.232214295784447,0.07908
700,5.22025,0.692026880140184,13.256585032138,0.229456967643173,0.07830375
720,5.17,0.688866030246335,13.324294588904,0.228324923811075,0.07755
740,5.123,0.689261805649355,13.4542612853671,0.228306765485972,0.076845
760,5.07625,0.684691983507289,13.4881454520027,0.226756936681843,0.07614375
780,5.03475,0.681881558691897,13.5435038222731,0.225759136027759,0.07552125
800,4.99,0.683964528468142,13.7067039773175,0.226267356608651,0.07485
820,4.95225,0.687435362254506,13.8812734061186,0.227214426992067,0.07428375
840,4.9135,0.680639136602372,13.8524297670168,0.225001527772591,0.0737025
860,4.87675,0.684845854764296,14.0430789924498,0.226186639378486,0.07315125
880,4.8445,0.68437072584812,14.1267566487382,0.22593403351421,0.0726675
900,4.8105,0.681412896698893,14.1651158236959,0.224923088706636,0.0721575
920,4.78375,0.686030774549827,14.3408575813917,0.226265791345783,0.07175625
940,4.75225,0.680921449123521,14.328401265159,0.22459468122227,0.07128375
960,4.7235,0.689922133962834,14.6061635220247,0.227267188568874,0.0708525
980,4.69675,0.685927722793671,14.6043055899009,0.225972205149217,0.07045125
1000,4.67125,0.684850134781446,14.6609608730307,0.225532795102324,0.07006875
1020,4.65075,0.684892385382526,14.7264932620013,0.225482722915378,0.06976125
1040,4.62825,0.68493541095116,14.79901498301,0.225440679558948,0.06942375
1060,4.61225,0.688669796367918,14.9313197759861,0.226554169387073,0.06918375
1080,4.59625,0.684226046164868,14.8866150919743,0.225124317507757,0.06894375
1100,4.58475,0.684212883495466,14.9236683242372,0.225081281614739,0.06877125
1120,4.578,0.685524924366845,14.974332118105,0.225487065408787,0.06867
1140,4.58025,0.684084997619833,14.9355384011753,0.225023795038065,0.06870375
1160,4.58525,0.669250041042681,14.5957154144852,0.220470283333907,0.06877875
1180,4.59825,0.66785489923542,14.5241102427102,0.22008658334089,0.06897375
