k,file,total_t,scale
2.452858328896159,geometries/test2D_10_pts_0.03_depth_0.dxf,3.1199999999999997,3.366666666666667
2.6436417054238786,geometries/test2D_10_pts_0.03_depth_1.dxf,3.1199999999999997,3.366666666666667
2.5520518809713955,geometries/test2D_10_pts_0.03_depth_2.dxf,3.1199999999999997,3.366666666666667
2.6724046911772055,geometries/test2D_10_pts_0.03_depth_3.dxf,3.1199999999999997,3.366666666666667
2.6404372857607843,geometries/test2D_10_pts_0.03_depth_4.dxf,3.1199999999999997,3.366666666666667
2.599032114924666,geometries/test2D_10_pts_0.03_depth_5.dxf,3.1199999999999997,3.366666666666667
2.4183163778410415,geometries/test2D_10_pts_0.03_depth_6.dxf,3.1199999999999997,3.366666666666667
2.5641874353788947,geometries/test2D_10_pts_0.03_depth_7.dxf,3.1199999999999997,3.366666666666667
2.6561057528246135,geometries/test2D_10_pts_0.03_depth_8.dxf,3.1199999999999997,3.366666666666667
2.5394617924813447,geometries/test2D_10_pts_0.03_depth_9.dxf,3.1199999999999997,3.366666666666667
2.8231418844748273,geometries/test2D_10_pts_0.04_depth_0.dxf,3.1199999999999997,3.366666666666667
2.6752646679677223,geometries/test2D_10_pts_0.04_depth_1.dxf,3.1199999999999997,3.366666666666667
2.8056052585759312,geometries/test2D_10_pts_0.04_depth_2.dxf,3.1199999999999997,3.366666666666667
2.7982750165203214,geometries/test2D_10_pts_0.04_depth_3.dxf,3.1199999999999997,3.366666666666667
2.654184588994656,geometries/test2D_10_pts_0.04_depth_4.dxf,3.1199999999999997,3.366666666666667
2.5553814213424326,geometries/test2D_10_pts_0.04_depth_5.dxf,3.1199999999999997,3.366666666666667
2.698624048984231,geometries/test2D_10_pts_0.04_depth_6.dxf,3.1199999999999997,3.366666666666667
2.6935466004576063,geometries/test2D_10_pts_0.04_depth_7.dxf,3.1199999999999997,3.366666666666667
2.632058266511259,geometries/test2D_10_pts_0.04_depth_8.dxf,3.1199999999999997,3.366666666666667
2.6179665026281445,geometries/test2D_10_pts_0.04_depth_9.dxf,3.1199999999999997,3.366666666666667
,geometries/test2D_10_pts_0.05_depth_0.dxf,3.1199999999999997,3.366666666666667
,geometries/test2D_10_pts_0.05_depth_1.dxf,3.1199999999999997,3.366666666666667
