k,file,total_t,scale
2.114322350336002,geometries/test2D_10_pts_0.03_depth_0.dxf,4.0,0.1
2.114367082625094,geometries/test2D_10_pts_0.03_depth_1.dxf,4.0,0.1
2.1143446784916624,geometries/test2D_10_pts_0.03_depth_2.dxf,4.0,0.1
2.1142377954618032,geometries/test2D_10_pts_0.03_depth_3.dxf,4.0,0.1
2.114416441768906,geometries/test2D_10_pts_0.03_depth_4.dxf,4.0,0.1
,geometries/test2D_10_pts_0.03_depth_5.dxf,4.0,0.1
2.114187508785028,geometries/test2D_10_pts_0.03_depth_6.dxf,4.0,0.1
2.11419606693882,geometries/test2D_10_pts_0.03_depth_7.dxf,4.0,0.1
2.1145874458976786,geometries/test2D_10_pts_0.03_depth_8.dxf,4.0,0.1
2.1142265840359666,geometries/test2D_10_pts_0.03_depth_9.dxf,4.0,0.1
2.1144342535767366,geometries/test2D_10_pts_0.04_depth_0.dxf,4.0,0.1
2.1142786519256136,geometries/test2D_10_pts_0.04_depth_1.dxf,4.0,0.1
2.1143388988525262,geometries/test2D_10_pts_0.04_depth_2.dxf,4.0,0.1
2.114453107045024,geometries/test2D_10_pts_0.04_depth_3.dxf,4.0,0.1
2.11433300857533,geometries/test2D_10_pts_0.04_depth_4.dxf,4.0,0.1
2.114521536870657,geometries/test2D_10_pts_0.04_depth_5.dxf,4.0,0.1
,geometries/test2D_10_pts_0.04_depth_6.dxf,4.0,0.1
2.1141362365870826,geometries/test2D_10_pts_0.04_depth_7.dxf,4.0,0.1
,geometries/test2D_10_pts_0.04_depth_8.dxf,4.0,0.1
2.114364390886946,geometries/test2D_10_pts_0.04_depth_9.dxf,4.0,0.1
2.114419221240204,geometries/test2D_10_pts_0.05_depth_0.dxf,4.0,0.1
2.114359176444522,geometries/test2D_10_pts_0.05_depth_1.dxf,4.0,0.1
2.114137817601409,geometries/test2D_10_pts_0.05_depth_2.dxf,4.0,0.1
2.114513160645997,geometries/test2D_10_pts_0.05_depth_3.dxf,4.0,0.1
2.1141314022639475,geometries/test2D_10_pts_0.05_depth_4.dxf,4.0,0.1
,geometries/test2D_10_pts_0.05_depth_5.dxf,4.0,0.1
2.1143445265897385,geometries/test2D_10_pts_0.05_depth_6.dxf,4.0,0.1
2.1143515346270654,geometries/test2D_10_pts_0.05_depth_7.dxf,4.0,0.1
2.114208603046868,geometries/test2D_10_pts_0.05_depth_8.dxf,4.0,0.1
2.114384808082858,geometries/test2D_10_pts_0.05_depth_9.dxf,4.0,0.1
2.114280651916152,geometries/test2D_10_pts_0.06_depth_0.dxf,4.0,0.1
,geometries/test2D_10_pts_0.06_depth_1.dxf,4.0,0.1
2.1141946640854354,geometries/test2D_10_pts_0.06_depth_2.dxf,4.0,0.1
2.1142042451229233,geometries/test2D_10_pts_0.06_depth_3.dxf,4.0,0.1
2.1142119916567212,geometries/test2D_10_pts_0.06_depth_4.dxf,4.0,0.1
2.11414327389526,geometries/test2D_10_pts_0.06_depth_5.dxf,4.0,0.1
2.11432472165569,geometries/test2D_10_pts_0.06_depth_6.dxf,4.0,0.1
2.114325253437988,geometries/test2D_10_pts_0.06_depth_7.dxf,4.0,0.1
2.114399637577049,geometries/test2D_10_pts_0.06_depth_8.dxf,4.0,0.1
2.1144995880918955,geometries/test2D_10_pts_0.06_depth_9.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_0.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_1.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_2.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_3.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_4.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_5.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_6.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_7.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_8.dxf,4.0,0.1
,geometries/test2D_20_pts_0.03_depth_9.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_0.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_1.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_2.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_3.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_4.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_5.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_6.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_7.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_8.dxf,4.0,0.1
,geometries/test2D_20_pts_0.04_depth_9.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_0.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_1.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_2.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_3.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_4.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_5.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_6.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_7.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_8.dxf,4.0,0.1
,geometries/test2D_20_pts_0.05_depth_9.dxf,4.0,0.1
