k,file,total_t,scale
4.650157204045814,geometries/test2D_10_pts_0.03_depth_0.dxf,3.56,1.7333333333333336
4.706500033354631,geometries/test2D_10_pts_0.03_depth_1.dxf,3.56,1.7333333333333336
4.679914419723364,geometries/test2D_10_pts_0.03_depth_2.dxf,3.56,1.7333333333333336
4.717277672280413,geometries/test2D_10_pts_0.03_depth_3.dxf,3.56,1.7333333333333336
4.723686489565745,geometries/test2D_10_pts_0.03_depth_4.dxf,3.56,1.7333333333333336
4.744348112115457,geometries/test2D_10_pts_0.03_depth_5.dxf,3.56,1.7333333333333336
4.615594957106989,geometries/test2D_10_pts_0.03_depth_6.dxf,3.56,1.7333333333333336
4.661616427139223,geometries/test2D_10_pts_0.03_depth_7.dxf,3.56,1.7333333333333336
4.7329907296455636,geometries/test2D_10_pts_0.03_depth_8.dxf,3.56,1.7333333333333336
4.667389705280582,geometries/test2D_10_pts_0.03_depth_9.dxf,3.56,1.7333333333333336
4.8124627566205795,geometries/test2D_10_pts_0.04_depth_0.dxf,3.56,1.7333333333333336
4.796202438401739,geometries/test2D_10_pts_0.04_depth_1.dxf,3.56,1.7333333333333336
4.8143941245363555,geometries/test2D_10_pts_0.04_depth_2.dxf,3.56,1.7333333333333336
4.804852960811428,geometries/test2D_10_pts_0.04_depth_3.dxf,3.56,1.7333333333333336
4.728029471802929,geometries/test2D_10_pts_0.04_depth_4.dxf,3.56,1.7333333333333336
4.708809906562862,geometries/test2D_10_pts_0.04_depth_5.dxf,3.56,1.7333333333333336
4.8026348735804785,geometries/test2D_10_pts_0.04_depth_6.dxf,3.56,1.7333333333333336
4.759598842505918,geometries/test2D_10_pts_0.04_depth_7.dxf,3.56,1.7333333333333336
4.7623533651934435,geometries/test2D_10_pts_0.04_depth_8.dxf,3.56,1.7333333333333336
4.783509901925966,geometries/test2D_10_pts_0.04_depth_9.dxf,3.56,1.7333333333333336
4.871910804726401,geometries/test2D_10_pts_0.05_depth_0.dxf,3.56,1.7333333333333336
4.796837032479745,geometries/test2D_10_pts_0.05_depth_1.dxf,3.56,1.7333333333333336
4.88337347079218,geometries/test2D_10_pts_0.05_depth_2.dxf,3.56,1.7333333333333336
4.981662252989018,geometries/test2D_10_pts_0.05_depth_3.dxf,3.56,1.7333333333333336
4.868972330663422,geometries/test2D_10_pts_0.05_depth_4.dxf,3.56,1.7333333333333336
4.864785646309393,geometries/test2D_10_pts_0.05_depth_5.dxf,3.56,1.7333333333333336
4.851978787509023,geometries/test2D_10_pts_0.05_depth_6.dxf,3.56,1.7333333333333336
4.95019230335437,geometries/test2D_10_pts_0.05_depth_7.dxf,3.56,1.7333333333333336
4.772060540915435,geometries/test2D_10_pts_0.05_depth_8.dxf,3.56,1.7333333333333336
4.9263426002980975,geometries/test2D_10_pts_0.05_depth_9.dxf,3.56,1.7333333333333336
4.971729744238281,geometries/test2D_10_pts_0.06_depth_0.dxf,3.56,1.7333333333333336
5.012475836230068,geometries/test2D_10_pts_0.06_depth_1.dxf,3.56,1.7333333333333336
4.9548129918946415,geometries/test2D_10_pts_0.06_depth_2.dxf,3.56,1.7333333333333336
4.95555338992441,geometries/test2D_10_pts_0.06_depth_3.dxf,3.56,1.7333333333333336
4.976174643102241,geometries/test2D_10_pts_0.06_depth_4.dxf,3.56,1.7333333333333336
5.018954091850151,geometries/test2D_10_pts_0.06_depth_5.dxf,3.56,1.7333333333333336
4.984318967046407,geometries/test2D_10_pts_0.06_depth_6.dxf,3.56,1.7333333333333336
4.945649203702366,geometries/test2D_10_pts_0.06_depth_7.dxf,3.56,1.7333333333333336
4.883945624386413,geometries/test2D_10_pts_0.06_depth_8.dxf,3.56,1.7333333333333336
5.111218111796211,geometries/test2D_10_pts_0.06_depth_9.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_0.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_1.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_2.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_3.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_4.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_5.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_6.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_7.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_8.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.03_depth_9.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_0.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_1.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_2.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_3.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_4.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_5.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_6.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_7.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_8.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.04_depth_9.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_0.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_1.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_2.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_3.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_4.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_5.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_6.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_7.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_8.dxf,3.56,1.7333333333333336
,geometries/test2D_20_pts_0.05_depth_9.dxf,3.56,1.7333333333333336
