k,file,total_t,scale
1.9730782102364357,geometries/test2D_10_pts_0.03_depth_0.dxf,3.01,5.0
2.20946839700263,geometries/test2D_10_pts_0.03_depth_1.dxf,3.01,5.0
2.0886265522766236,geometries/test2D_10_pts_0.03_depth_2.dxf,3.01,5.0
2.239877395589757,geometries/test2D_10_pts_0.03_depth_3.dxf,3.01,5.0
2.1872834565058756,geometries/test2D_10_pts_0.03_depth_4.dxf,3.01,5.0
2.1430468337109825,geometries/test2D_10_pts_0.03_depth_5.dxf,3.01,5.0
1.9407667183060702,geometries/test2D_10_pts_0.03_depth_6.dxf,3.01,5.0
2.1130480236203524,geometries/test2D_10_pts_0.03_depth_7.dxf,3.01,5.0
2.200239701366804,geometries/test2D_10_pts_0.03_depth_8.dxf,3.01,5.0
2.074692826177668,geometries/test2D_10_pts_0.03_depth_9.dxf,3.01,5.0
2.416151840619554,geometries/test2D_10_pts_0.04_depth_0.dxf,3.01,5.0
2.2460111142263552,geometries/test2D_10_pts_0.04_depth_1.dxf,3.01,5.0
2.399589004286551,geometries/test2D_10_pts_0.04_depth_2.dxf,3.01,5.0
2.3857875109993874,geometries/test2D_10_pts_0.04_depth_3.dxf,3.01,5.0
2.2140701236862763,geometries/test2D_10_pts_0.04_depth_4.dxf,3.01,5.0
2.0988986598564203,geometries/test2D_10_pts_0.04_depth_5.dxf,3.01,5.0
2.2707497006584982,geometries/test2D_10_pts_0.04_depth_6.dxf,3.01,5.0
2.2644690762499278,geometries/test2D_10_pts_0.04_depth_7.dxf,3.01,5.0
2.2190032703508327,geometries/test2D_10_pts_0.04_depth_8.dxf,3.01,5.0
2.155489622270957,geometries/test2D_10_pts_0.04_depth_9.dxf,3.01,5.0
,geometries/test2D_10_pts_0.05_depth_0.dxf,3.01,5.0
,geometries/test2D_10_pts_0.05_depth_1.dxf,3.01,5.0
2.482562006852017,geometries/test2D_10_pts_0.05_depth_2.dxf,3.01,5.0
2.7704324772668407,geometries/test2D_10_pts_0.05_depth_3.dxf,3.01,5.0
2.4479886094802272,geometries/test2D_10_pts_0.05_depth_4.dxf,3.01,5.0
2.575523177534615,geometries/test2D_10_pts_0.05_depth_5.dxf,3.01,5.0
,geometries/test2D_10_pts_0.05_depth_6.dxf,3.01,5.0
,geometries/test2D_10_pts_0.05_depth_7.dxf,3.01,5.0
2.327024440421512,geometries/test2D_10_pts_0.05_depth_8.dxf,3.01,5.0
2.4466983565310856,geometries/test2D_10_pts_0.05_depth_9.dxf,3.01,5.0
,geometries/test2D_10_pts_0.06_depth_0.dxf,3.01,5.0
2.77487144969654,geometries/test2D_10_pts_0.06_depth_1.dxf,3.01,5.0
,geometries/test2D_10_pts_0.06_depth_2.dxf,3.01,5.0
2.632552493651399,geometries/test2D_10_pts_0.06_depth_3.dxf,3.01,5.0
,geometries/test2D_10_pts_0.06_depth_4.dxf,3.01,5.0
,geometries/test2D_10_pts_0.06_depth_5.dxf,3.01,5.0
,geometries/test2D_10_pts_0.06_depth_6.dxf,3.01,5.0
,geometries/test2D_10_pts_0.06_depth_7.dxf,3.01,5.0
,geometries/test2D_10_pts_0.06_depth_8.dxf,3.01,5.0
2.760661661408972,geometries/test2D_10_pts_0.06_depth_9.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_0.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_1.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_2.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_3.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_4.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_5.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_6.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_7.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_8.dxf,3.01,5.0
,geometries/test2D_20_pts_0.03_depth_9.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_0.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_1.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_2.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_3.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_4.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_5.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_6.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_7.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_8.dxf,3.01,5.0
,geometries/test2D_20_pts_0.04_depth_9.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_0.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_1.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_2.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_3.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_4.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_5.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_6.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_7.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_8.dxf,3.01,5.0
,geometries/test2D_20_pts_0.05_depth_9.dxf,3.01,5.0
