k,file,total_t,scale
2.129379266896742,geometries/test2D_10_pts_0.03_depth_0.dxf,3.56,0.1
2.129437493800353,geometries/test2D_10_pts_0.03_depth_1.dxf,3.56,0.1
2.1294083916078446,geometries/test2D_10_pts_0.03_depth_2.dxf,3.56,0.1
2.1292916916556544,geometries/test2D_10_pts_0.03_depth_3.dxf,3.56,0.1
2.129495330119844,geometries/test2D_10_pts_0.03_depth_4.dxf,3.56,0.1
,geometries/test2D_10_pts_0.03_depth_5.dxf,3.56,0.1
2.129223713073849,geometries/test2D_10_pts_0.03_depth_6.dxf,3.56,0.1
2.1292375873910157,geometries/test2D_10_pts_0.03_depth_7.dxf,3.56,0.1
2.1296898844251975,geometries/test2D_10_pts_0.03_depth_8.dxf,3.56,0.1
2.1292721739962595,geometries/test2D_10_pts_0.03_depth_9.dxf,3.56,0.1
2.1295273283073124,geometries/test2D_10_pts_0.04_depth_0.dxf,3.56,0.1
2.1293494492899194,geometries/test2D_10_pts_0.04_depth_1.dxf,3.56,0.1
2.129420223775214,geometries/test2D_10_pts_0.04_depth_2.dxf,3.56,0.1
2.129551987528099,geometries/test2D_10_pts_0.04_depth_3.dxf,3.56,0.1
2.1294019617035542,geometries/test2D_10_pts_0.04_depth_4.dxf,3.56,0.1
2.1296116766321975,geometries/test2D_10_pts_0.04_depth_5.dxf,3.56,0.1
,geometries/test2D_10_pts_0.04_depth_6.dxf,3.56,0.1
2.1291858394150385,geometries/test2D_10_pts_0.04_depth_7.dxf,3.56,0.1
,geometries/test2D_10_pts_0.04_depth_8.dxf,3.56,0.1
2.1294440801603307,geometries/test2D_10_pts_0.04_depth_9.dxf,3.56,0.1
2.1295236047924133,geometries/test2D_10_pts_0.05_depth_0.dxf,3.56,0.1
2.129445448985664,geometries/test2D_10_pts_0.05_depth_1.dxf,3.56,0.1
2.12920618299049,geometries/test2D_10_pts_0.05_depth_2.dxf,3.56,0.1
2.129642028344708,geometries/test2D_10_pts_0.05_depth_3.dxf,3.56,0.1
2.129190376422276,geometries/test2D_10_pts_0.05_depth_4.dxf,3.56,0.1
,geometries/test2D_10_pts_0.05_depth_5.dxf,3.56,0.1
2.129435005194664,geometries/test2D_10_pts_0.05_depth_6.dxf,3.56,0.1
2.129454702483812,geometries/test2D_10_pts_0.05_depth_7.dxf,3.56,0.1
2.1292637757496773,geometries/test2D_10_pts_0.05_depth_8.dxf,3.56,0.1
,geometries/test2D_10_pts_0.05_depth_9.dxf,3.56,0.1
2.1293730637071104,geometries/test2D_10_pts_0.06_depth_0.dxf,3.56,0.1
2.129406200950915,geometries/test2D_10_pts_0.06_depth_1.dxf,3.56,0.1
2.1292849910995075,geometries/test2D_10_pts_0.06_depth_2.dxf,3.56,0.1
2.129299134947606,geometries/test2D_10_pts_0.06_depth_3.dxf,3.56,0.1
2.129305012766885,geometries/test2D_10_pts_0.06_depth_4.dxf,3.56,0.1
2.129230434987073,geometries/test2D_10_pts_0.06_depth_5.dxf,3.56,0.1
2.129421448739551,geometries/test2D_10_pts_0.06_depth_6.dxf,3.56,0.1
2.1294284419344818,geometries/test2D_10_pts_0.06_depth_7.dxf,3.56,0.1
2.129504379999233,geometries/test2D_10_pts_0.06_depth_8.dxf,3.56,0.1
2.129647231321946,geometries/test2D_10_pts_0.06_depth_9.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_0.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_1.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_2.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_3.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_4.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_5.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_6.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_7.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_8.dxf,3.56,0.1
,geometries/test2D_20_pts_0.03_depth_9.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_0.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_1.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_2.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_3.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_4.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_5.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_6.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_7.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_8.dxf,3.56,0.1
,geometries/test2D_20_pts_0.04_depth_9.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_0.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_1.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_2.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_3.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_4.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_5.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_6.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_7.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_8.dxf,3.56,0.1
,geometries/test2D_20_pts_0.05_depth_9.dxf,3.56,0.1
