#EXPORTTYPE:                 ,DATA COMPARE                 ,
#FILE:                       ,sample1.ngb-ds3              ,
#FORMAT:                     ,NETZSCH5                     ,
#FTYPE:                      ,ANSI                         ,
#IDENTITY:                   ,graphite                     ,
#DECIMAL:                    ,POINT                        ,
#SEPARATOR:                  ,COMMA                        ,
#MTYPE:                      ,CP                           ,
#INSTRUMENT:                 ,NETZSCH STA 449F3            ,
#PROJECT:                    ,Gen3CSP                      ,
#DATE/TIME:                  ,12/9/2022 11:00:47 AM (UTC-5),
#CORR. FILE:                 ,baseline2.ngb-bs3            ,
#TEMPCAL:                    ,TCALZERO.TCX                 ,
#SENSITIVITY:                ,SENSZERO.EXX                 ,
#LABORATORY:                 ,STEEL                        ,
#OPERATOR:                   ,MJA                          ,
#REMARK:                     ,                             ,
#SAMPLE:                     ,sample1                      ,
#SAMPLE MASS /mg:            ,51,
#MATERIAL:                   ,                             ,
#REFERENCE:                  ,                             ,
#REFERENCE MASS /mg:         ,0,
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid       
#SAMPLE CRUCIBLE MASS /mg:   ,0,
#REFERENCE CRUCIBLE MASS /mg:,0,
#DSC RANGE /�V:              ,5000,
#TG RANGE /mg:               ,35000,
#TAU-R:                      ,---                          ,
#CORR. CODE:                 ,0,
#EXO:                        ,-1,
#RANGE:                      ,100�C/15.0(K/min)/1180�C     ,
#SEGMENT:                    ,S5/7                         ,
#SEG. 5:                     ,100�C/15.0(K/min)/1180�C     ,
,,
##Temp./C,Cp(5)/(J/(g*K)),
141.98468,-1.29359,
142.00449,-1.29564,
142.02429,-1.29778,
142.0441,-1.30007,
142.0639,-1.30249,
142.0837,-1.305,
142.10351,-1.30754,
142.12331,-1.31004,
142.14312,-1.31246,
142.16292,-1.31472,
142.18273,-1.31679,
142.20253,-1.31868,
142.22234,-1.32043,
142.24214,-1.32209,
142.26194,-1.32371,
142.28175,-1.32532,
142.30155,-1.32699,
142.32136,-1.32874,
142.34116,-1.33063,
142.36097,-1.33268,
142.38077,-1.33487,
142.40057,-1.33717,
142.42038,-1.33953,
142.44018,-1.34192,
142.45999,-1.3443,
142.47979,-1.34663,
142.4996,-1.34889,
142.5194,-1.35109,
142.53921,-1.35322,
142.55901,-1.35528,
142.57881,-1.35727,
142.59862,-1.35919,
142.61842,-1.36105,
142.63823,-1.36284,
142.65803,-1.36459,
142.67784,-1.36632,
142.69764,-1.36805,
142.71745,-1.36981,
142.73725,-1.37162,
142.75705,-1.3735,
142.77686,-1.37547,
142.79666,-1.37754,
142.81647,-1.37968,
142.83627,-1.38185,
142.85608,-1.38403,
142.87588,-1.38618,
142.89568,-1.38826,
142.91549,-1.39025,
142.93529,-1.39214,
142.9551,-1.39395,
142.9749,-1.39571,
142.99471,-1.39743,
143.01451,-1.39914,
143.03432,-1.40085,
143.05412,-1.4026,
143.07392,-1.40441,
143.09373,-1.40627,
143.11353,-1.40819,
143.13334,-1.41013,
143.15314,-1.41208,
143.17295,-1.41401,
143.19275,-1.41591,
143.21256,-1.41775,
143.23236,-1.41951,
143.25216,-1.4212,
143.27197,-1.42284,
143.29177,-1.42446,
143.31158,-1.42608,
143.33138,-1.42772,
143.35119,-1.42942,
143.37099,-1.43119,
143.39079,-1.43306,
143.4106,-1.43501,
143.4304,-1.43703,
143.45021,-1.43908,
143.47001,-1.44116,
143.48982,-1.44322,
143.50962,-1.44526,
143.52943,-1.44724,
143.54923,-1.44916,
143.56903,-1.45104,
143.58884,-1.45288,
143.60864,-1.45471,
143.62845,-1.45655,
143.64825,-1.45841,
143.66806,-1.4603,
143.68786,-1.46226,
143.70767,-1.46425,
143.72747,-1.46627,
143.74727,-1.46828,
143.76708,-1.47025,
143.78688,-1.47218,
143.80669,-1.47402,
143.82649,-1.47575,
143.8463,-1.47736,
143.8661,-1.47886,
143.8859,-1.48027,
143.90571,-1.48164,
143.92551,-1.483,
143.94532,-1.48439,
143.96512,-1.48583,
143.98493,-1.48736,
144.00473,-1.48901,
144.02454,-1.49079,
144.04434,-1.49267,
144.06414,-1.49465,
144.08395,-1.49668,
144.10375,-1.49877,
144.12356,-1.50088,
144.14336,-1.503,
144.16317,-1.50511,
144.18297,-1.5072,
144.20278,-1.50924,
144.22258,-1.51124,
144.24238,-1.51317,
144.26219,-1.51503,
144.28199,-1.51679,
144.3018,-1.51846,
144.3216,-1.52003,
144.34141,-1.52154,
144.36121,-1.52301,
144.38101,-1.52449,
144.40082,-1.526,
144.42062,-1.52756,
144.44043,-1.52921,
144.46023,-1.53098,
144.48004,-1.53289,
144.49984,-1.5349,
144.51965,-1.53698,
144.53945,-1.53908,
144.55925,-1.54118,
144.57906,-1.54323,
144.59886,-1.5452,
144.61867,-1.54705,
144.63847,-1.54879,
144.65828,-1.55044,
144.67808,-1.55202,
144.69789,-1.55356,
144.71769,-1.55506,
144.73749,-1.55656,
144.7573,-1.55807,
144.7771,-1.55962,
144.79691,-1.56121,
144.81671,-1.56285,
144.83652,-1.56454,
144.85632,-1.56627,
144.87612,-1.56804,
144.89593,-1.56986,
144.91573,-1.57171,
144.93554,-1.57361,
144.95534,-1.57553,
144.97515,-1.57747,
144.99495,-1.57939,
145.01476,-1.58129,
145.03456,-1.58314,
145.05436,-1.58493,
145.07417,-1.58663,
145.09397,-1.58823,
145.11378,-1.58973,
145.13358,-1.59115,
145.15339,-1.59253,
145.17319,-1.59387,
145.193,-1.59522,
145.2128,-1.59658,
145.2326,-1.598,
145.25241,-1.59949,
145.27221,-1.60106,
145.29202,-1.60269,
145.31182,-1.60438,
145.33163,-1.60608,
145.35143,-1.60779,
145.37123,-1.60949,
145.39104,-1.61115,
145.41084,-1.61275,
145.43065,-1.61428,
145.45045,-1.61576,
145.47026,-1.61721,
145.49006,-1.61864,
145.50987,-1.62007,
145.52967,-1.62153,
145.54947,-1.62302,
145.56928,-1.62458,
145.58908,-1.6262,
145.60889,-1.62789,
145.62869,-1.62963,
145.6485,-1.63139,
145.6683,-1.63318,
145.68811,-1.63497,
145.70791,-1.63675,
145.72771,-1.6385,
145.74752,-1.64022,
145.76732,-1.6419,
145.78713,-1.64355,
145.80693,-1.64517,
145.82674,-1.64677,
145.84654,-1.64834,
145.86634,-1.64988,
