Temperature_C,AvgThermDiff_mm2_s,Uncertai95CI_mm2_s,PercenUncertai95CI,RandomUncertai_salpha,SystemUncertai_balpha,Temperature_C.1,AvgSpeciHeat_J_gK,Uncertai95CI_J_gK,PercenUncertai95CI.1,RandomUncertai_scp,SystemUncertai_bcp,Thermal Conductivity (W/mK),k
780,5.03475,0.681881559,13.54350382,0.22575913600000003,0.07552125,780.0,1.494694217,0.079956416,5.349349419,0.024148611,0.026157148999999998,12.04065874,13.278825095996247
800,4.99,0.683964528,13.70670398,0.226267357,0.07485,800.0,1.495487082,0.077490844,5.181645828,0.023158906,0.026171023999999998,11.93996886,13.223834476953435
820,4.95225,0.687435362,13.88127341,0.227214427,0.07428375,820.0,1.495597412,0.076329358,5.103603273,0.022678324,0.026172955,11.85051566,13.183870120929848
840,4.9135,0.680639137,13.85242977,0.225001528,0.0737025,840.0,1.497547798,0.069698414,4.6541695999999995,0.01967707,0.026207086,11.77312177,13.137985673188528
860,4.87675,0.684845855,14.04307899,0.226186639,0.07315125,860.0,1.5025638630000002,0.068467099,4.556684774,0.019011166,0.026294868,11.72420531,13.094378858684829
880,4.8445,0.6843707259999999,14.12675665,0.22593403399999998,0.0726675,880.0,1.5035329290000001,0.066557585,4.426746087,0.017993519,0.026311826,11.65418444,13.060019196000475
900,4.8105,0.6814128970000001,14.16511582,0.224923089,0.0721575,900.0,1.508621505,0.06526026,4.325820591,0.017201129,0.026400876,11.611558,13.018284421118295
920,4.78375,0.686030775,14.34085758,0.22626579100000002,0.07175625,920.0,1.51213425,0.065860549,4.3554697,0.017497579,0.026462349,11.57387555,12.99370420183011
940,4.75225,0.6809214490000001,14.32840127,0.22459468100000002,0.07128375,940.0,1.511244305,0.0670204,4.434782662,0.018151834,0.026446775,11.49089719,12.953906939145764
960,4.7235,0.689922134,14.60616352,0.22726718899999998,0.0708525,960.0,1.51144121,0.072271781,4.781646842,0.020777908,0.026450221,11.42286809,12.919387020533911
980,4.69675,0.6859277229999999,14.60430559,0.225972205,0.07045125,980.0,1.507947691,0.075559648,5.010760575,0.022272446,0.026389085,11.33192531,12.888270917390681
1000,4.67125,0.684850135,14.66096087,0.225532795,0.07006875,1000.0,1.507750943,0.08143876,5.40134032,0.024664306,0.026385641,11.26893055,12.858647039228492
1020,4.65075,0.684892385,14.72649326,0.225482723,0.06976125,1020.0,1.5048101809999999,0.08851998800000001,5.882468682000001,0.02727261,0.026334178,11.19759352,12.840993688093828
1040,4.62825,0.684935411,14.79901498,0.22544068,0.06942375,1040.0,1.505444415,0.09985921,6.63320473,0.03101131,0.026345277,11.14811698,12.81613418565985
1060,4.61225,0.6886697959999999,14.93131978,0.22655416899999997,0.06918375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.807702450880356
1080,4.59625,0.6842260459999999,14.88661509,0.22512431800000002,0.06894375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.797820477292344
1100,4.58475,0.6842128829999999,14.92366832,0.225081282,0.06877125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.799115648277274
1120,4.578,0.6855249240000001,14.97433212,0.225487065,0.06867000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.812443646342262
1140,4.58025,0.684084998,14.935538399999999,0.225023795,0.06870375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.849879296686247
1160,4.58525,0.669250041,14.59571541,0.22047028300000002,0.06877875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.894073164440004
1180,4.59825,0.667854899,14.52411024,0.220086583,0.06897375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.95991469071001
