##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,6 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,6
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.8600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
43,300.0,Standard + p.c.(l),3.767,0.4,250.0,0.60,287.0,9.295,16903660.9,1.934
44,300.0,Standard + p.c.(l),3.738,0.3,250.0,0.60,288.1,6.356,11834675.3,1.887
45,300.0,Standard + p.c.(l),3.734,0.3,250.0,0.60,289.0,6.493,11834675.3,1.907
#Mean,300.0,,3.746,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
46,320.0,Standard + p.c.(l),3.777,0.3,250.0,0.60,284.6,7.871,11834675.3,2.11
47,320.0,Standard + p.c.(l),3.775,0.3,250.0,0.60,284.7,6.416,9988562.6,1.931
48,320.0,Standard + p.c.(l),3.775,0.3,250.0,0.60,284.8,6.515,9988562.6,1.912
#Mean,320.0,,3.776,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
49,340.0,Standard + p.c.(l),3.759,0.3,250.0,0.60,285.6,7.324,9988562.6,1.93
50,340.0,Standard + p.c.(l),3.761,0.3,250.0,0.60,285.7,7.135,9988562.6,1.922
51,340.0,Standard + p.c.(l),3.766,0.3,250.0,0.60,285.2,7.368,9988562.6,2.096
#Mean,340.0,,3.762,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
52,360.0,Standard + p.c.(l),3.710,0.3,250.0,0.60,289.4,7.888,9988562.6,1.906
53,360.0,Standard + p.c.(l),3.712,0.3,250.0,0.60,289.6,6.503,8298900.8,1.92
54,360.0,Standard + p.c.(l),3.714,0.3,250.0,0.60,289.3,6.624,8298900.8,1.951
#Mean,360.0,,3.712,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
55,380.0,Standard + p.c.(l),3.665,0.3,250.0,0.60,292.9,7.182,8298900.8,1.945
56,380.0,Standard + p.c.(l),3.672,0.3,250.0,0.60,292.5,7.376,8298900.8,2.102
57,380.0,Standard + p.c.(l),3.671,0.3,250.0,0.60,292.4,7.332,8298900.8,2.085
#Mean,380.0,,3.669,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
58,400.0,Standard + p.c.(l),3.625,0.3,250.0,0.60,296.0,7.915,8298900.8,1.932
59,400.0,Standard + p.c.(l),3.616,0.3,250.0,0.60,296.1,6.464,6911969.6,1.952
60,400.0,Standard + p.c.(l),3.620,0.3,250.0,0.60,295.9,6.665,6911969.6,2.078
#Mean,400.0,,3.620,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
61,420.0,Standard + p.c.(l),3.581,0.3,250.0,0.60,298.4,7.074,6911969.6,1.942
62,420.0,Standard + p.c.(l),3.588,0.3,250.0,0.60,298.1,7.179,6911969.6,2.106
63,420.0,Standard + p.c.(l),3.585,0.3,250.0,0.60,298.6,7.149,6911969.6,1.941
#Mean,420.0,,3.584,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
64,440.0,Standard + p.c.(l),3.550,0.3,250.0,0.60,300.8,7.634,6911969.6,1.948
65,440.0,Standard + p.c.(l),3.560,0.3,250.0,0.60,300.3,7.894,6911969.6,2.114
66,440.0,Standard + p.c.(l),3.548,0.3,250.0,0.60,301.0,6.429,5785528.0,1.935
#Mean,440.0,,3.553,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
67,460.0,Standard + p.c.(l),3.518,0.3,250.0,0.60,302.8,6.926,5785528.0,2.078
68,460.0,Standard + p.c.(l),3.517,0.3,250.0,0.60,303.1,7.009,5785528.0,1.909
69,460.0,Standard + p.c.(l),3.524,0.3,250.0,0.60,302.7,7.179,5785528.0,2.097
#Mean,460.0,,3.520,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
70,480.0,Standard + p.c.(l),3.499,0.3,250.0,0.60,304.3,7.681,5785528.0,2.029
71,480.0,Standard + p.c.(l),3.497,0.3,250.0,0.60,304.8,7.63,5785528.0,1.928
72,480.0,Standard + p.c.(l),3.502,0.3,250.0,0.60,304.2,7.679,5785528.0,2.083
#Mean,480.0,,3.499,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
73,500.0,Standard + p.c.(l),3.468,0.3,250.0,0.60,306.5,7.166,5086586.9,1.911
74,500.0,Standard + p.c.(l),3.469,0.3,250.0,0.60,306.2,7.087,5086586.9,1.905
75,500.0,Standard + p.c.(l),3.480,0.3,250.0,0.60,306.0,7.319,5086586.9,2.082
#Mean,500.0,,3.472,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
76,520.0,Standard + p.c.(l),3.426,0.3,250.0,0.60,308.3,7.572,5086586.9,1.922
77,520.0,Standard + p.c.(l),3.453,0.3,250.0,0.60,307.4,7.766,5086586.9,2.102
78,520.0,Standard + p.c.(l),3.456,0.3,250.0,0.60,307.4,6.749,4430982.4,2.074
#Mean,520.0,,3.445,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
79,540.0,Standard + p.c.(l),3.428,0.3,250.0,0.60,309.4,6.963,4430982.4,1.929
80,540.0,Standard + p.c.(l),3.435,0.3,250.0,0.60,309.2,7.149,4430982.4,1.919
81,540.0,Standard + p.c.(l),3.440,0.3,250.0,0.60,308.7,7.023,4430982.4,1.951
#Mean,540.0,,3.435,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
82,560.0,Standard + p.c.(l),3.412,0.3,250.0,0.60,309.9,7.482,4430982.4,1.897
83,560.0,Standard + p.c.(l),3.421,0.3,250.0,0.60,309.6,7.604,4430982.4,2.102
84,560.0,Standard + p.c.(l),3.423,0.3,250.0,0.60,308.9,7.526,4430982.4,2.099
#Mean,560.0,,3.418,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
85,580.0,Standard + p.c.(l),3.397,0.3,250.0,0.60,310.7,7.712,4430982.4,1.933
86,580.0,Standard + p.c.(l),3.401,0.3,250.0,0.60,310.9,7.741,4430982.4,1.928
87,580.0,Standard + p.c.(l),3.404,0.3,250.0,0.60,310.7,7.903,4430982.4,2.06
#Mean,580.0,,3.401,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
88,600.0,Standard + p.c.(l),3.383,0.3,250.0,0.60,311.9,7.199,3820592.0,1.908
89,600.0,Standard + p.c.(l),3.387,0.3,250.0,0.60,311.5,7.204,3820592.0,2.101
90,600.0,Standard + p.c.(l),3.390,0.3,250.0,0.60,310.9,7.287,3820592.0,2.077
#Mean,600.0,,3.387,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
91,620.0,Standard + p.c.(l),3.382,0.3,250.0,0.60,312.1,7.388,3820592.0,1.95
92,620.0,Standard + p.c.(l),3.375,0.3,250.0,0.60,312.2,7.572,3820592.0,1.914
93,620.0,Standard + p.c.(l),3.377,0.3,250.0,0.60,311.8,7.408,3820592.0,1.916
#Mean,620.0,,3.378,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
94,640.0,Standard + p.c.(l),3.370,0.3,250.0,0.60,312.0,7.954,3820592.0,2.093
95,640.0,Standard + p.c.(l),3.373,0.3,250.0,0.60,311.9,6.878,3287409.7,2.038
96,640.0,Standard + p.c.(l),3.374,0.3,250.0,0.60,312.0,6.786,3287409.7,2.095
#Mean,640.0,,3.372,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
97,660.0,Standard + p.c.(l),3.368,0.3,250.0,0.60,312.1,6.883,3287409.7,1.942
98,660.0,Standard + p.c.(l),3.364,0.3,250.0,0.60,312.4,7.012,3287409.7,1.905
99,660.0,Standard + p.c.(l),3.381,0.3,250.0,0.60,311.6,7.141,3287409.7,2.081
#Mean,660.0,,3.371,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
100,680.0,Standard + p.c.(l),3.360,0.3,250.0,0.60,312.0,7.407,3287409.7,1.942
101,680.0,Standard + p.c.(l),3.367,0.3,250.0,0.60,311.9,7.452,3287409.7,2.087
102,680.0,Standard + p.c.(l),3.379,0.3,250.0,0.60,311.2,7.519,3287409.7,2.091
#Mean,680.0,,3.368,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
103,700.0,Standard + p.c.(l),3.374,0.3,250.0,0.60,311.1,7.653,3287409.7,2.103
104,700.0,Standard + p.c.(l),3.367,0.3,250.0,0.60,311.2,7.818,3287409.7,2.1
105,700.0,Standard + p.c.(l),3.370,0.3,250.0,0.60,310.8,7.586,3287409.7,1.932
#Mean,700.0,,3.370,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
106,720.0,Standard + p.c.(l),3.372,0.3,250.0,0.60,310.3,7.922,3287409.7,1.937
107,720.0,Standard + p.c.(l),3.374,0.3,250.0,0.60,310.0,8.069,3287409.7,2.128
108,720.0,Standard + p.c.(l),3.376,0.3,250.0,0.60,310.4,6.866,2823926.0,2.097
#Mean,720.0,,3.374,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
109,740.0,Standard + p.c.(l),3.363,0.3,250.0,0.60,309.8,7.211,2823926.0,2.083
110,740.0,Standard + p.c.(l),3.366,0.3,250.0,0.60,310.4,7.231,2823926.0,2.074
111,740.0,Standard + p.c.(l),3.372,0.3,250.0,0.60,310.8,7.037,2823926.0,1.926
#Mean,740.0,,3.367,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
112,760.0,Standard + p.c.(l),3.367,0.3,250.0,0.60,309.5,7.588,2823926.0,2.07
113,760.0,Standard + p.c.(l),3.364,0.3,250.0,0.60,309.9,7.309,2823926.0,2.073
114,760.0,Standard + p.c.(l),3.363,0.3,250.0,0.60,310.2,7.429,2823926.0,2.102
#Mean,760.0,,3.365,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
