##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,2 - B
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,2
#Type,#Single_layer
#Sample position,B
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9000
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.0,Standard + p.c.(l),4.202,0.4,250.0,0.60,266.9,1.008,50865869.1,2.081
2,25.0,Standard + p.c.(l),4.171,0.4,250.0,0.60,265.9,1.037,50865869.1,2.088
3,25.0,Standard + p.c.(l),4.182,0.4,250.0,0.60,268.0,0.9885,50865869.1,1.906
#Mean,25.0,,4.185,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
4,40.0,Standard + p.c.(l),4.045,0.3,250.0,0.60,276.1,1.427,50865869.1,2.073
5,40.0,Standard + p.c.(l),4.057,0.3,250.0,0.60,273.6,1.426,50865869.1,2.06
6,40.0,Standard + p.c.(l),4.068,0.3,250.0,0.60,276.2,1.389,50865869.1,1.943
#Mean,40.0,,4.056,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
7,60.0,Standard + p.c.(l),3.912,0.3,250.0,0.60,285.3,2.052,50865869.1,1.921
8,60.0,Standard + p.c.(l),3.911,0.3,250.0,0.60,287.1,2.037,50865869.1,1.918
9,60.0,Standard + p.c.(l),3.920,0.3,250.0,0.60,285.2,2.112,50865869.1,2.037
#Mean,60.0,,3.914,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
10,80.0,Standard + p.c.(l),3.737,0.2,250.0,0.60,299.0,2.922,50865869.1,1.93
11,80.0,Standard + p.c.(l),3.733,0.3,250.0,0.60,298.1,2.909,50865869.1,1.929
12,80.0,Standard + p.c.(l),3.739,0.3,250.0,0.60,297.5,2.928,50865869.1,1.881
#Mean,80.0,,3.736,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
13,100.0,Standard + p.c.(l),3.579,0.2,250.0,0.60,308.9,3.952,50865869.1,1.935
14,100.0,Standard + p.c.(l),3.580,0.2,250.0,0.60,310.1,3.949,50865869.1,1.934
15,100.0,Standard + p.c.(l),3.581,0.2,250.0,0.60,310.7,4.07,50865869.1,2.048
#Mean,100.0,,3.580,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
16,120.0,Standard + p.c.(l),3.445,0.2,250.0,0.60,322.7,5.259,50865869.1,1.921
17,120.0,Standard + p.c.(l),3.456,0.2,250.0,0.60,321.0,5.28,50865869.1,2.049
18,120.0,Standard + p.c.(l),3.447,0.2,250.0,0.60,322.0,5.239,50865869.1,1.925
#Mean,120.0,,3.449,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
19,140.0,Standard + p.c.(l),3.279,0.3,250.0,0.60,338.3,6.681,50865869.1,1.893
