##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,03 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,03
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.5900
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
43,300.0,Standard + p.c.(l),3.881,2.2,250.0,0.60,82.2,7.204,8138539.4,2.101
44,300.0,Standard + p.c.(l),3.973,2.4,250.0,0.60,82.3,5.835,6765688.5,2.008
45,300.0,Standard + p.c.(l),3.983,2.4,250.0,0.60,82.0,5.9,6765688.5,2.025
#Mean,300.0,,3.946,,,,,,,
#Std_Dev,0.0,,0.056,,,,,,,
46,320.0,Standard + p.c.(l),5.290,1.3,250.0,0.60,64.2,6.914,6765688.5,2.049
47,320.0,Standard + p.c.(l),5.300,1.4,250.0,0.60,64.2,5.967,5785528.0,2.059
48,320.0,Standard + p.c.(l),5.283,1.4,250.0,0.60,64.4,5.86,5785528.0,1.916
#Mean,320.0,,5.291,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
49,340.0,Standard + p.c.(l),5.529,1.2,250.0,0.60,62.5,6.515,5785528.0,2.054
50,340.0,Standard + p.c.(l),5.513,1.2,250.0,0.60,62.8,6.633,5785528.0,2.073
51,340.0,Standard + p.c.(l),5.528,1.2,250.0,0.60,62.6,6.531,5785528.0,2.078
#Mean,340.0,,5.523,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
52,360.0,Standard + p.c.(l),5.523,1.2,250.0,0.60,62.6,7.157,5785528.0,1.91
53,360.0,Standard + p.c.(l),5.529,1.2,250.0,0.60,62.6,6.074,4759215.1,2.075
54,360.0,Standard + p.c.(l),5.521,1.2,250.0,0.60,62.8,6.02,4759215.1,2.071
#Mean,360.0,,5.524,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
55,380.0,Standard + p.c.(l),5.609,1.1,250.0,0.60,61.7,6.75,4759215.1,2.031
56,380.0,Standard + p.c.(l),5.589,1.0,250.0,0.60,61.8,6.457,4759215.1,1.914
