##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,8 - C
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,8
#Type,#Single_layer
#Sample position,C
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9900
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.1,Standard + p.c.(l),5.134,0.4,250.0,0.60,235.3,1.031,50865869.1,1.948
2,25.0,Standard + p.c.(l),5.082,0.3,250.0,0.60,235.2,1.04,50865869.1,1.897
3,25.1,Standard + p.c.(l),5.126,0.4,250.0,0.60,233.0,1.051,50865869.1,2.038
#Mean,25.0,,5.114,,,,,,,
#Std_Dev,0.0,,0.028,,,,,,,
4,40.0,Standard + p.c.(l),4.973,0.3,250.0,0.60,239.6,1.429,50865869.1,1.934
5,40.0,Standard + p.c.(l),4.977,0.3,250.0,0.60,240.3,1.46,50865869.1,1.924
6,40.0,Standard + p.c.(l),4.964,0.3,250.0,0.60,240.3,1.472,50865869.1,2.102
#Mean,40.0,,4.971,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
7,60.0,Standard + p.c.(l),4.771,0.3,250.0,0.60,249.9,2.084,50865869.1,1.952
8,60.0,Standard + p.c.(l),4.778,0.3,250.0,0.60,248.4,2.161,50865869.1,2.091
9,60.0,Standard + p.c.(l),4.789,0.3,250.0,0.60,248.3,2.165,50865869.1,2.024
#Mean,60.0,,4.779,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
10,80.0,Standard + p.c.(l),4.556,0.3,250.0,0.60,262.2,2.903,50865869.1,1.937
11,80.0,Standard + p.c.(l),4.548,0.2,250.0,0.60,264.1,2.953,50865869.1,1.915
12,80.0,Standard + p.c.(l),4.530,0.3,250.0,0.60,262.8,2.974,50865869.1,1.928
#Mean,80.0,,4.544,,,,,,,
#Std_Dev,0.0,,0.013,,,,,,,
13,100.0,Standard + p.c.(l),4.331,0.3,250.0,0.60,274.6,3.917,50865869.1,1.949
14,100.0,Standard + p.c.(l),4.325,0.3,250.0,0.60,274.4,3.991,50865869.1,1.921
15,100.0,Standard + p.c.(l),4.337,0.3,250.0,0.60,273.7,3.937,50865869.1,1.938
#Mean,100.0,,4.331,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
16,120.0,Standard + p.c.(l),4.224,0.3,250.0,0.60,281.2,5.191,50865869.1,1.93
17,120.0,Standard + p.c.(l),4.231,0.3,250.0,0.60,280.8,5.242,50865869.1,1.927
18,120.0,Standard + p.c.(l),4.229,0.3,250.0,0.60,280.8,5.101,50865869.1,1.933
#Mean,120.0,,4.228,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
19,140.0,Standard + p.c.(l),4.121,0.3,250.0,0.60,288.6,6.702,50865869.1,1.926
20,140.0,Standard + p.c.(l),4.126,0.2,250.0,0.60,288.6,6.837,50865869.1,2.049
21,140.0,Standard + p.c.(l),4.131,0.2,250.0,0.60,287.5,6.835,50865869.1,2.1
#Mean,140.0,,4.126,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
22,160.0,Standard + p.c.(l),4.031,0.2,250.0,0.60,295.0,8.287,50865869.1,1.944
23,160.0,Standard + p.c.(l),4.016,0.3,250.0,0.60,295.0,6.56,39601455.1,1.952
24,160.0,Standard + p.c.(l),4.015,0.3,250.0,0.60,295.4,6.547,39601455.1,1.931
#Mean,160.0,,4.021,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
25,180.0,Standard + p.c.(l),3.914,0.3,250.0,0.60,302.9,8.254,39601455.1,1.916
26,180.0,Standard + p.c.(l),3.915,0.3,250.0,0.60,302.7,6.331,31290039.1,1.941
27,180.0,Standard + p.c.(l),3.914,0.3,250.0,0.60,302.7,6.298,31290039.1,1.912
#Mean,180.0,,3.915,,,,,,,
#Std_Dev,0.0,,0.000,,,,,,,
28,200.0,Standard + p.c.(l),3.820,0.3,250.0,0.60,309.9,7.741,31290039.1,1.911
29,200.0,Standard + p.c.(l),3.830,0.3,250.0,0.60,309.2,6.546,26196801.8,2.01
30,200.0,Standard + p.c.(l),3.824,0.3,250.0,0.60,309.4,6.395,26196801.8,1.965
#Mean,200.0,,3.825,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
31,220.0,Standard + p.c.(l),3.738,0.2,250.0,0.60,316.7,7.692,26196801.8,1.93
32,220.0,Standard + p.c.(l),3.739,0.3,250.0,0.60,316.2,6.492,22078252.0,1.934
33,220.0,Standard + p.c.(l),3.739,0.3,250.0,0.60,316.2,6.517,22078252.0,1.944
#Mean,220.0,,3.739,,,,,,,
#Std_Dev,0.0,,0.000,,,,,,,
34,240.0,Standard + p.c.(l),3.669,0.3,250.0,0.60,322.3,7.586,22078252.0,1.927
35,240.0,Standard + p.c.(l),3.668,0.3,250.0,0.60,323.0,6.449,19036860.4,1.946
36,240.0,Standard + p.c.(l),3.669,0.3,250.0,0.60,322.5,6.402,19036860.4,1.946
#Mean,240.0,,3.669,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
37,260.0,Standard + p.c.(l),3.604,0.3,250.0,0.60,328.2,7.358,19036860.4,1.937
38,260.0,Standard + p.c.(l),3.600,0.3,250.0,0.60,327.5,7.585,19036860.4,2.098
39,260.0,Standard + p.c.(l),3.593,0.3,250.0,0.60,328.1,6.393,16446827.4,1.906
#Mean,260.0,,3.599,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
