##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P3 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P3
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.0500
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
#Std_Dev,0.0,,0.006,,,,,,,
43,300.0,Standard + p.c.(l),0.595,0.2,250.0,0.60,1841.3,9.252,33195603.0,2.057
44,300.0,Standard + p.c.(l),0.610,0.3,250.0,0.60,1840.0,8.902,33195603.0,1.933
45,300.0,Standard + p.c.(l),0.609,0.2,250.0,0.60,1820.2,9.293,33195603.0,2.085
#Mean,300.0,,0.605,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
46,320.0,Standard + p.c.(l),0.637,0.2,250.0,0.60,1731.9,10.53,33195603.0,2.022
47,320.0,Standard + p.c.(l),0.639,0.3,250.0,0.60,1715.4,8.252,25627324.2,2.037
48,320.0,Standard + p.c.(l),0.633,0.3,250.0,0.60,1721.9,8.193,25627324.2,2.042
#Mean,320.0,,0.637,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
49,340.0,Standard + p.c.(l),0.699,0.3,250.0,0.60,1592.4,4.289,12816400.1,2.072
50,340.0,Standard + p.c.(l),0.701,0.3,250.0,0.60,1572.8,8.237,24507141.1,2.079
51,340.0,Standard + p.c.(l),0.703,0.3,250.0,0.60,1568.5,8.105,24507141.1,2.043
#Mean,340.0,,0.701,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
52,360.0,Standard + p.c.(l),1.085,0.6,250.0,0.60,1036.6,10.41,24507141.1,2.033
53,360.0,Standard + p.c.(l),1.083,0.5,250.0,0.60,1044.1,7.417,18311712.6,1.937
54,360.0,Standard + p.c.(l),1.098,0.5,250.0,0.60,1033.6,7.411,18311712.6,1.893
#Mean,360.0,,1.089,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
55,380.0,Standard + p.c.(l),1.384,0.6,250.0,0.60,825.6,9.076,18311712.6,2.085
56,380.0,Standard + p.c.(l),1.393,0.6,250.0,0.60,826.8,7.325,15113870.8,2.046
57,380.0,Standard + p.c.(l),1.399,0.6,250.0,0.60,822.9,7.2,15113870.8,2.051
#Mean,380.0,,1.392,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
58,400.0,Standard + p.c.(l),1.493,0.6,250.0,0.60,773.9,8.431,15113870.8,2.03
59,400.0,Standard + p.c.(l),1.491,0.6,250.0,0.60,777.7,8.131,15113870.8,1.872
60,400.0,Standard + p.c.(l),1.495,0.6,250.0,0.60,773.5,8.335,15113870.8,2.049
#Mean,400.0,,1.493,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
61,420.0,Standard + p.c.(l),1.509,0.6,250.0,0.60,758.8,9.326,15113870.8,2.029
62,420.0,Standard + p.c.(l),1.566,0.6,250.0,0.60,748.2,7.282,12027890.6,2.062
63,420.0,Standard + p.c.(l),1.537,0.6,250.0,0.60,755.0,7.26,12027890.6,1.899
#Mean,420.0,,1.537,,,,,,,
#Std_Dev,0.0,,0.029,,,,,,,
64,440.0,Standard + p.c.(l),1.586,0.7,250.0,0.60,729.9,7.813,12027890.6,1.909
65,440.0,Standard + p.c.(l),1.585,0.6,250.0,0.60,730.5,8.122,12027890.6,2.075
66,440.0,Standard + p.c.(l),1.577,0.6,250.0,0.60,732.2,7.919,12027890.6,1.899
#Mean,440.0,,1.582,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
67,460.0,Standard + p.c.(l),1.668,0.7,250.0,0.60,695.1,8.631,12027890.6,1.917
68,460.0,Standard + p.c.(l),1.642,0.6,250.0,0.60,701.5,7.512,10166133.4,2.086
69,460.0,Standard + p.c.(l),1.641,0.6,250.0,0.60,704.0,7.469,10166133.4,2.065
#Mean,460.0,,1.650,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
70,480.0,Standard + p.c.(l),1.721,0.7,250.0,0.60,672.9,8.05,10166133.4,1.922
71,480.0,Standard + p.c.(l),1.709,0.6,250.0,0.60,676.9,8.188,10166133.4,2.075
72,480.0,Standard + p.c.(l),1.714,0.6,250.0,0.60,677.1,8.238,10166133.4,2.042
#Mean,480.0,,1.715,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
73,500.0,Standard + p.c.(l),1.811,0.7,250.0,0.60,642.5,4.358,5086586.9,1.9
74,500.0,Standard + p.c.(l),1.789,0.7,250.0,0.60,647.2,4.359,5086586.9,1.9
