##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,5 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,5
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.1200
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.0,Standard + p.c.(l),7.284,0.6,250.0,0.60,181.2,1.152,50865869.1,1.885
2,25.0,Standard + p.c.(l),7.257,0.5,250.0,0.60,180.1,1.123,50865869.1,1.925
3,25.0,Standard + p.c.(l),7.301,0.6,250.0,0.60,180.9,1.159,50865869.1,2.066
#Mean,25.0,,7.281,,,,,,,
#Std_Dev,0.0,,0.022,,,,,,,
4,40.0,Standard + p.c.(l),7.069,0.6,250.0,0.60,185.1,1.619,50865869.1,1.896
5,40.0,Standard + p.c.(l),7.066,0.5,250.0,0.60,186.9,1.619,50865869.1,1.94
6,40.0,Standard + p.c.(l),7.081,0.5,250.0,0.60,186.5,1.599,50865869.1,1.902
#Mean,40.0,,7.072,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
7,60.0,Standard + p.c.(l),6.800,0.5,250.0,0.60,191.8,2.433,50865869.1,2.059
8,60.0,Standard + p.c.(l),6.803,0.5,250.0,0.60,191.7,2.445,50865869.1,2.065
9,60.0,Standard + p.c.(l),6.821,0.5,250.0,0.60,191.5,2.407,50865869.1,1.917
#Mean,60.0,,6.808,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
10,80.0,Standard + p.c.(l),6.603,0.5,250.0,0.60,198.0,3.41,50865869.1,1.944
11,80.0,Standard + p.c.(l),6.586,0.5,250.0,0.60,199.0,3.488,50865869.1,2.071
12,80.0,Standard + p.c.(l),6.597,0.5,250.0,0.60,198.6,3.436,50865869.1,2.092
#Mean,80.0,,6.595,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
13,100.0,Standard + p.c.(l),6.367,0.5,250.0,0.60,204.9,4.767,50865869.1,2.109
14,100.0,Standard + p.c.(l),6.362,0.5,250.0,0.60,205.8,4.708,50865869.1,1.903
15,100.0,Standard + p.c.(l),6.371,0.5,250.0,0.60,205.1,4.774,50865869.1,2.042
#Mean,100.0,,6.367,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
16,120.0,Standard + p.c.(l),6.175,0.5,250.0,0.60,211.6,6.432,50865869.1,2.085
17,120.0,Standard + p.c.(l),6.170,0.5,250.0,0.60,211.7,6.134,50865869.1,1.944
18,120.0,Standard + p.c.(l),6.163,0.5,250.0,0.60,211.7,6.148,50865869.1,1.929
#Mean,120.0,,6.169,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
19,140.0,Standard + p.c.(l),5.988,0.5,250.0,0.60,217.1,7.905,50865869.1,2.074
20,140.0,Standard + p.c.(l),5.972,0.5,250.0,0.60,217.8,6.665,42103877.0,2.083
21,140.0,Standard + p.c.(l),5.978,0.5,250.0,0.60,217.7,6.602,42103877.0,1.95
#Mean,140.0,,5.980,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
22,160.0,Standard + p.c.(l),5.804,0.5,250.0,0.60,224.3,8.233,42103877.0,1.944
23,160.0,Standard + p.c.(l),5.813,0.5,250.0,0.60,223.6,6.553,33195603.0,1.897
24,160.0,Standard + p.c.(l),5.811,0.5,250.0,0.60,224.0,6.433,33195603.0,1.947
#Mean,160.0,,5.809,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
