##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,3 - C
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,3
#Type,#Single_layer
#Sample position,C
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.0100
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
43,300.0,Standard + p.c.(l),3.518,0.2,250.0,0.60,340.0,7.729,17366754.2,1.945
44,300.0,Standard + p.c.(l),3.523,0.2,250.0,0.60,339.8,6.453,14682069.1,1.947
45,300.0,Standard + p.c.(l),3.525,0.2,250.0,0.60,339.5,6.433,14682069.1,1.932
#Mean,300.0,,3.522,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
46,320.0,Standard + p.c.(l),3.445,0.2,250.0,0.60,345.9,7.528,14682069.1,2.07
47,320.0,Standard + p.c.(l),3.447,0.2,250.0,0.60,346.3,7.41,14682069.1,1.939
48,320.0,Standard + p.c.(l),3.444,0.2,250.0,0.60,346.3,7.441,14682069.1,1.912
#Mean,320.0,,3.445,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
49,340.0,Standard + p.c.(l),3.429,0.3,250.0,0.60,346.5,8.301,14682069.1,2.055
50,340.0,Standard + p.c.(l),3.432,0.3,250.0,0.60,345.8,6.714,11643023.7,2.097
51,340.0,Standard + p.c.(l),3.427,0.3,250.0,0.60,346.5,6.647,11643023.7,1.91
#Mean,340.0,,3.429,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
52,360.0,Standard + p.c.(l),3.457,0.3,250.0,0.60,343.2,7.328,11643023.7,1.904
53,360.0,Standard + p.c.(l),3.467,0.3,250.0,0.60,342.1,7.246,11643023.7,1.918
54,360.0,Standard + p.c.(l),3.480,0.3,250.0,0.60,341.1,7.298,11643023.7,1.971
#Mean,360.0,,3.468,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
55,380.0,Standard + p.c.(l),3.518,0.2,250.0,0.60,336.3,8.325,11643023.7,1.918
56,380.0,Standard + p.c.(l),3.529,0.2,250.0,0.60,336.5,6.545,9293924.0,1.922
57,380.0,Standard + p.c.(l),3.533,0.2,250.0,0.60,335.8,6.664,9293924.0,1.894
#Mean,380.0,,3.527,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
58,400.0,Standard + p.c.(l),3.538,0.1,250.0,0.60,334.0,7.485,9293924.0,1.916
59,400.0,Standard + p.c.(l),3.545,0.1,250.0,0.60,333.3,7.517,9293924.0,1.923
60,400.0,Standard + p.c.(l),3.551,0.1,250.0,0.60,332.7,7.518,9293924.0,1.91
#Mean,400.0,,3.544,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
