##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P1 - B
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P1
#Type,#Single_layer
#Sample position,B
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.2000
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
#Mean,280.0,,0.464,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
43,300.0,Standard + p.c.(l),0.426,0.5,250.0,0.60,2613.3,10.91,33843305.7,2.046
44,300.0,Standard + p.c.(l),0.437,0.3,250.0,0.60,2627.5,10.59,33843305.7,2.065
45,300.0,Standard + p.c.(l),0.438,0.3,250.0,0.60,2623.5,10.54,33843305.7,2.048
#Mean,300.0,,0.433,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
46,320.0,Standard + p.c.(l),0.425,0.6,250.0,0.60,2581.1,12.37,33843305.7,2.035
47,320.0,Standard + p.c.(l),0.440,0.3,250.0,0.60,2590.8,9.875,28836899.4,2.03
48,320.0,Standard + p.c.(l),0.447,0.3,250.0,0.60,2595.8,9.518,28836899.4,1.888
#Mean,320.0,,0.438,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
49,340.0,Standard + p.c.(l),0.437,0.4,250.0,0.60,2576.6,10.42,28836899.4,1.894
50,340.0,Standard + p.c.(l),0.439,0.3,250.0,0.60,2592.3,10.18,28836899.4,1.916
51,340.0,Standard + p.c.(l),0.447,0.3,250.0,0.60,2586.2,10.25,28836899.4,2.088
#Mean,340.0,,0.441,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
52,360.0,Standard + p.c.(l),0.441,0.8,250.0,0.60,2411.6,14.23,28836899.4,2.052
53,360.0,Standard + p.c.(l),0.439,0.7,250.0,0.60,2423.5,10.5,22341870.1,2.066
54,360.0,Standard + p.c.(l),0.490,0.5,250.0,0.60,2422.8,9.071,22341870.1,2.085
#Mean,360.0,,0.456,,,,,,,
#Std_Dev,0.0,,0.029,,,,,,,
55,380.0,Standard + p.c.(l),0.555,1.8,250.0,0.60,1943.9,13.29,22341870.1,2.044
56,380.0,Standard + p.c.(l),0.589,1.2,250.0,0.60,1906.6,9.804,17836104.7,1.912
57,380.0,Standard + p.c.(l),0.658,0.6,250.0,0.60,1879.5,8.4,17836104.7,1.884
#Mean,380.0,,0.601,,,,,,,
#Std_Dev,0.0,,0.053,,,,,,,
58,400.0,Standard + p.c.(l),0.818,0.7,250.0,0.60,1481.1,9.963,17836104.7,2.066
59,400.0,Standard + p.c.(l),0.831,0.6,250.0,0.60,1432.7,8.459,15332119.1,1.901
60,400.0,Standard + p.c.(l),0.753,2.4,250.0,0.60,1460.0,9.383,15332119.1,1.893
#Mean,400.0,,0.801,,,,,,,
#Std_Dev,0.0,,0.042,,,,,,,
61,420.0,Standard + p.c.(l),0.948,0.4,250.0,0.60,1266.4,10.29,15332119.1,1.887
62,420.0,Standard + p.c.(l),0.907,0.7,250.0,0.60,1271.6,9.411,12616926.3,2.061
63,420.0,Standard + p.c.(l),0.956,0.4,250.0,0.60,1264.7,8.885,12616926.3,2.066
#Mean,420.0,,0.937,,,,,,,
#Std_Dev,0.0,,0.026,,,,,,,
64,440.0,Standard + p.c.(l),0.990,0.3,250.0,0.60,1219.5,9.618,12616926.3,1.927
65,440.0,Standard + p.c.(l),0.995,0.4,250.0,0.60,1207.0,10.05,12616926.3,2.079
66,440.0,Standard + p.c.(l),0.975,0.5,250.0,0.60,1208.7,8.669,10708233.6,1.89
#Mean,440.0,,0.986,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
67,460.0,Standard + p.c.(l),0.998,0.3,250.0,0.60,1191.2,9.415,10708233.6,1.915
68,460.0,Standard + p.c.(l),1.005,0.3,250.0,0.60,1192.1,9.514,10708233.6,2.081
69,460.0,Standard + p.c.(l),1.010,0.3,250.0,0.60,1189.3,9.595,10708233.6,2.014
#Mean,460.0,,1.004,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
70,480.0,Standard + p.c.(l),1.023,0.3,250.0,0.60,1157.7,10.77,10708233.6,2.078
71,480.0,Standard + p.c.(l),1.048,0.3,250.0,0.60,1152.1,7.943,8298900.8,2.042
72,480.0,Standard + p.c.(l),1.046,0.3,250.0,0.60,1141.3,8.221,8298900.8,2.024
#Mean,480.0,,1.039,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
73,500.0,Standard + p.c.(l),1.095,0.3,250.0,0.60,1097.0,5.43,5086586.9,2.052
74,500.0,Standard + p.c.(l),1.110,0.3,250.0,0.60,1091.9,5.302,5086586.9,1.873
75,500.0,Standard + p.c.(l),1.102,0.3,250.0,0.60,1088.7,5.481,5086586.9,1.902
#Mean,500.0,,1.102,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
76,520.0,Standard + p.c.(l),1.145,0.3,250.0,0.60,1046.6,6.167,5086586.9,2.052
77,520.0,Standard + p.c.(l),1.156,0.3,250.0,0.60,1042.2,6.12,5086586.9,2.061
78,520.0,Standard + p.c.(l),1.166,0.3,250.0,0.60,1036.6,6.297,5086586.9,2.005
#Mean,520.0,,1.156,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
79,540.0,Standard + p.c.(l),1.215,0.3,250.0,0.60,997.3,6.592,5086586.9,2.087
80,540.0,Standard + p.c.(l),1.251,0.4,250.0,0.60,990.7,6.357,5086586.9,1.891
81,540.0,Standard + p.c.(l),1.241,0.6,250.0,0.60,996.1,6.384,5086586.9,2.049
#Mean,540.0,,1.236,,,,,,,
#Std_Dev,0.0,,0.019,,,,,,,
82,560.0,Standard + p.c.(l),1.255,0.4,250.0,0.60,968.0,7.036,5086586.9,2.072
83,560.0,Standard + p.c.(l),1.274,0.4,250.0,0.60,971.1,6.63,5086586.9,1.898
84,560.0,Standard + p.c.(l),1.221,0.9,250.0,0.60,967.5,7.148,5086586.9,1.876
#Mean,560.0,,1.250,,,,,,,
#Std_Dev,0.0,,0.027,,,,,,,
85,580.0,Standard + p.c.(l),1.325,0.4,250.0,0.60,937.3,5.79,5086586.9,1.915
86,580.0,Standard + p.c.(l),1.309,0.3,250.0,0.60,930.0,6.083,5086586.9,2.084
87,580.0,Standard + p.c.(l),1.322,0.3,250.0,0.60,921.9,5.971,5086586.9,2.068
#Mean,580.0,,1.319,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
88,600.0,Standard + p.c.(l),1.393,0.4,250.0,0.60,867.8,6.347,5086586.9,2.064
89,600.0,Standard + p.c.(l),1.400,0.3,250.0,0.60,868.0,6.197,5086586.9,2.035
90,600.0,Standard + p.c.(l),1.411,0.3,250.0,0.60,868.0,6.29,5086586.9,2.057
#Mean,600.0,,1.401,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
91,620.0,Standard + p.c.(l),1.471,0.3,250.0,0.60,823.8,6.643,5086586.9,2.037
92,620.0,Standard + p.c.(l),1.491,0.3,250.0,0.60,820.2,6.7,5086586.9,2.069
93,620.0,Standard + p.c.(l),1.505,0.3,250.0,0.60,814.5,6.533,5086586.9,1.897
#Mean,620.0,,1.489,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
94,640.0,Standard + p.c.(l),1.555,0.3,250.0,0.60,779.2,7.123,5086586.9,2.053
95,640.0,Standard + p.c.(l),1.576,0.3,250.0,0.60,773.6,7.061,5086586.9,2.019
96,640.0,Standard + p.c.(l),1.583,0.3,250.0,0.60,772.3,7.137,5086586.9,2.086
#Mean,640.0,,1.571,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
97,660.0,Standard + p.c.(l),1.578,0.3,250.0,0.60,752.2,7.326,5086586.9,1.9
98,660.0,Standard + p.c.(l),1.649,0.3,250.0,0.60,739.4,7.399,5086586.9,2.075
99,660.0,Standard + p.c.(l),1.663,0.3,250.0,0.60,733.3,7.425,5086586.9,2.088
#Mean,660.0,,1.630,,,,,,,
#Std_Dev,0.0,,0.045,,,,,,,
100,680.0,Standard + p.c.(l),1.728,0.3,250.0,0.60,705.3,7.687,5086586.9,2.084
101,680.0,Standard + p.c.(l),1.754,0.4,250.0,0.60,695.5,7.532,5086586.9,2.041
102,680.0,Standard + p.c.(l),1.751,0.4,250.0,0.60,696.4,7.753,5086586.9,2.068
#Mean,680.0,,1.744,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
103,700.0,Standard + p.c.(l),1.830,0.3,250.0,0.60,670.1,7.756,5086586.9,2.042
104,700.0,Standard + p.c.(l),1.846,0.4,250.0,0.60,665.4,7.76,5086586.9,2.067
105,700.0,Standard + p.c.(l),1.858,0.4,250.0,0.60,661.3,7.688,5086586.9,2.073
#Mean,700.0,,1.845,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
106,720.0,Standard + p.c.(l),1.941,0.9,250.0,0.60,635.3,8.103,5086586.9,2.091
107,720.0,Standard + p.c.(l),1.952,0.7,250.0,0.60,631.4,7.698,5086586.9,1.899
108,720.0,Standard + p.c.(l),1.948,0.4,250.0,0.60,633.2,7.979,5086586.9,2.085
#Mean,720.0,,1.947,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
109,740.0,Standard + p.c.(l),2.081,0.8,250.0,0.60,594.1,8.227,5086586.9,1.887
110,740.0,Standard + p.c.(l),2.058,0.5,250.0,0.60,598.7,8.331,5086586.9,2.071
111,740.0,Standard + p.c.(l),2.053,0.4,250.0,0.60,600.4,8.357,5086586.9,2.073
#Mean,740.0,,2.064,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
112,760.0,Standard + p.c.(l),2.139,0.3,250.0,0.60,578.5,8.565,5086586.9,2.076
113,760.0,Standard + p.c.(l),2.174,0.9,250.0,0.60,569.0,8.615,5086586.9,1.896
114,760.0,Standard + p.c.(l),2.187,1.2,250.0,0.60,572.2,8.506,5086586.9,2.065
#Mean,760.0,,2.167,,,,,,,
#Std_Dev,0.0,,0.025,,,,,,,
115,780.0,Standard + p.c.(l),2.358,0.7,250.0,0.60,532.3,9.204,5086586.9,2.068
116,780.0,Standard + p.c.(l),2.334,0.5,250.0,0.60,537.2,7.431,4283293.5,1.898
117,780.0,Standard + p.c.(l),2.311,0.6,250.0,0.60,538.0,7.707,4283293.5,2.066
#Mean,780.0,,2.334,,,,,,,
#Std_Dev,0.0,,0.024,,,,,,,
118,800.0,Standard + p.c.(l),2.450,0.7,250.0,0.60,513.1,8.12,4283293.5,2.085
119,800.0,Standard + p.c.(l),2.403,0.5,250.0,0.60,521.0,7.976,4283293.5,2.011
120,800.0,Standard + p.c.(l),2.396,0.5,250.0,0.60,519.0,8.048,4283293.5,2.061
#Mean,800.0,,2.416,,,,,,,
#Std_Dev,0.0,,0.029,,,,,,,
121,820.0,Standard + p.c.(l),2.489,0.7,250.0,0.60,500.1,8.519,4283293.5,2.087
122,820.0,Standard + p.c.(l),2.474,0.5,250.0,0.60,506.8,8.277,4283293.5,2.055
123,820.0,Standard + p.c.(l),2.476,0.4,250.0,0.60,500.8,8.242,4283293.5,1.903
#Mean,820.0,,2.480,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
124,840.0,Standard + p.c.(l),2.529,0.5,250.0,0.60,488.6,8.736,4283293.5,2.064
125,840.0,Standard + p.c.(l),2.506,0.4,250.0,0.60,492.8,8.718,4283293.5,2.072
126,840.0,Standard + p.c.(l),2.537,0.5,250.0,0.60,486.1,8.594,4283293.5,2.059
#Mean,840.0,,2.524,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
127,860.0,Standard + p.c.(l),2.623,0.5,250.0,0.60,475.1,9.259,4283293.5,2.079
128,860.0,Standard + p.c.(l),2.767,0.8,250.0,0.60,453.3,7.226,3615955.1,1.914
129,860.0,Standard + p.c.(l),2.545,0.3,250.0,0.60,483.6,7.657,3615955.1,2.02
#Mean,860.0,,2.645,,,,,,,
#Std_Dev,0.0,,0.113,,,,,,,
130,880.0,Standard + p.c.(l),2.744,0.6,250.0,0.60,456.6,8.159,3615955.1,2.027
131,880.0,Standard + p.c.(l),2.693,0.5,250.0,0.60,466.8,7.848,3615955.1,1.911
132,880.0,Standard + p.c.(l),2.663,0.5,250.0,0.60,466.7,8.077,3615955.1,2.057
#Mean,880.0,,2.700,,,,,,,
#Std_Dev,0.0,,0.041,,,,,,,
133,900.0,Standard + p.c.(l),2.775,0.6,250.0,0.60,452.9,8.168,3615955.1,1.905
134,900.0,Standard + p.c.(l),2.646,0.5,250.0,0.60,463.8,8.369,3615955.1,1.885
135,900.0,Standard + p.c.(l),2.712,0.4,250.0,0.60,457.9,8.271,3615955.1,1.904
#Mean,900.0,,2.711,,,,,,,
#Std_Dev,0.0,,0.065,,,,,,,
136,920.0,Standard + p.c.(l),2.834,0.7,250.0,0.60,441.1,8.496,3615955.1,1.908
137,920.0,Standard + p.c.(l),2.761,0.5,250.0,0.60,449.7,8.348,3615955.1,1.883
138,920.0,Standard + p.c.(l),2.753,0.4,250.0,0.60,452.3,8.57,3615955.1,2.037
#Mean,920.0,,2.783,,,,,,,
#Std_Dev,0.0,,0.044,,,,,,,
139,940.0,Standard + p.c.(l),2.822,0.7,250.0,0.60,440.3,8.954,3615955.1,1.895
140,940.0,Standard + p.c.(l),2.830,0.6,250.0,0.60,442.6,8.826,3615955.1,1.872
141,940.0,Standard + p.c.(l),2.780,0.5,250.0,0.60,449.0,8.631,3615955.1,1.89
#Mean,940.0,,2.811,,,,,,,
#Std_Dev,0.0,,0.027,,,,,,,
142,960.0,Standard + p.c.(l),2.633,0.5,250.0,0.60,451.2,9.27,3615955.1,2.064
143,960.0,Standard + p.c.(l),2.778,0.5,250.0,0.60,447.3,9.017,3615955.1,2.012
144,960.0,Standard + p.c.(l),2.751,0.4,250.0,0.60,444.3,9.095,3615955.1,2.035
#Mean,960.0,,2.721,,,,,,,
#Std_Dev,0.0,,0.077,,,,,,,
145,980.0,Standard + p.c.(l),3.018,0.9,250.0,0.60,420.1,9.299,3615955.1,1.893
146,980.0,Standard + p.c.(l),2.936,0.7,250.0,0.60,429.0,7.632,3005095.5,1.871
147,980.0,Standard + p.c.(l),2.837,0.5,250.0,0.60,438.0,7.684,3005095.5,2.045
#Mean,980.0,,2.930,,,,,,,
#Std_Dev,0.0,,0.091,,,,,,,
148,1000.0,Standard + p.c.(l),2.936,0.8,250.0,0.60,432.8,7.853,3005095.5,2.03
149,1000.0,Standard + p.c.(l),2.834,0.9,250.0,0.60,438.6,7.719,3005095.5,1.883
150,1000.0,Standard + p.c.(l),2.841,0.6,250.0,0.60,433.8,7.764,3005095.5,2.042
#Mean,1000.0,,2.870,,,,,,,
#Std_Dev,0.0,,0.057,,,,,,,
