##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,1 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,1
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9800
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
43,300.0,Standard + p.c.(l),51.954,0.9,250.0,0.60,22.9,7.77,13837237.5,1.92
44,300.0,Standard + p.c.(l),52.105,1.3,250.0,0.60,22.9,6.302,10892063.0,2.114
45,300.0,Standard + p.c.(l),51.938,0.9,250.0,0.60,22.9,6.095,10892063.0,1.918
#Mean,300.0,,51.999,,,,,,,
#Std_Dev,0.0,,0.093,,,,,,,
46,320.0,Standard + p.c.(l),49.816,1.0,250.0,0.60,23.9,6.868,10892063.0,1.914
47,320.0,Standard + p.c.(l),49.880,1.0,250.0,0.60,23.9,6.898,10892063.0,1.926
48,320.0,Standard + p.c.(l),49.948,0.8,250.0,0.60,23.9,6.829,10892063.0,1.906
#Mean,320.0,,49.881,,,,,,,
#Std_Dev,0.0,,0.066,,,,,,,
49,340.0,Standard + p.c.(l),48.156,0.9,250.0,0.60,24.8,7.675,10892063.0,2.086
50,340.0,Standard + p.c.(l),48.045,0.9,250.0,0.60,24.8,6.046,8624317.0,1.95
51,340.0,Standard + p.c.(l),48.077,0.9,250.0,0.60,24.8,6.008,8624317.0,1.937
#Mean,340.0,,48.093,,,,,,,
#Std_Dev,0.0,,0.057,,,,,,,
