##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P2 - C
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P2
#Type,#Single_layer
#Sample position,C
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.8500
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
#Std_Dev,0.0,,0.035,,,,,,,
43,300.0,Standard + p.c.(l),0.706,0.3,250.0,0.60,1403.7,7.579,22078252.0,2.033
44,300.0,Standard + p.c.(l),0.695,0.3,250.0,0.60,1405.9,8.003,22078252.0,2.059
45,300.0,Standard + p.c.(l),0.702,0.3,250.0,0.60,1425.1,8.021,22078252.0,2.044
#Mean,300.0,,0.701,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
46,320.0,Standard + p.c.(l),0.675,0.5,250.0,0.60,1458.2,9.97,22078252.0,2.018
47,320.0,Standard + p.c.(l),0.676,0.5,250.0,0.60,1494.0,7.636,17600647.0,2.044
48,320.0,Standard + p.c.(l),0.696,0.5,250.0,0.60,1418.5,7.484,17600647.0,2.046
#Mean,320.0,,0.683,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
49,340.0,Standard + p.c.(l),0.667,0.6,250.0,0.60,1483.5,7.208,17600647.0,2.078
50,340.0,Standard + p.c.(l),0.703,0.4,250.0,0.60,1448.3,6.503,17600647.0,2.071
51,340.0,Standard + p.c.(l),0.744,0.7,250.0,0.60,1452.1,5.965,17600647.0,1.908
#Mean,340.0,,0.704,,,,,,,
#Std_Dev,0.0,,0.039,,,,,,,
52,360.0,Standard + p.c.(l),0.671,1.1,250.0,0.60,1426.8,1.825,4400161.7,1.916
53,360.0,Standard + p.c.(l),0.737,0.7,250.0,0.60,1548.5,1.414,4400161.7,2.04
